기준연월,시도명,시군구명,외지인_소비액_강도지수,전체대비_외지인소비액비중_강도지수,방문량대비_방문소비액_강도지수
202511,부산광역시,해운대구,96.98,-11.12,97.26
202512,부산광역시,강서구,81.4,83.01,89.13
202512,부산광역시,금정구,67.76,66.57,60.1
202512,부산광역시,기장군,82.62,82.85,92.83
202512,부산광역시,남구,70.28,79.81,63.05
202512,부산광역시,동구,69.28,80.91,69.03
202512,부산광역시,동래구,71.27,68.46,63.06
202512,부산광역시,부산진구,82.81,58.32,70.32
202512,부산광역시,북구,83.02,83.33,92.01
202512,부산광역시,사상구,70.39,83.54,69.58
202512,부산광역시,사하구,67.42,80.12,57.76
202512,부산광역시,서구,64.78,82.08,57.75
202512,부산광역시,수영구,70.97,83.73,65.96
202512,부산광역시,연제구,70.7,83.7,71.26
202512,부산광역시,영도구,63.79,79.84,53.49
202512,부산광역시,중구,71.29,80.51,74.72
202512,부산광역시,해운대구,100.36,-5.53,99.42
202601,부산광역시,강서구,80.51,83.1,87.38
202601,부산광역시,금정구,67.38,67.55,59.97
202601,부산광역시,기장군,80.73,82.23,89.28
202601,부산광역시,남구,69.79,81.96,62.85
202601,부산광역시,동구,69.38,81.6,69.8
202601,부산광역시,동래구,71.15,69,63.53
202601,부산광역시,부산진구,81.99,60.63,70.1
202601,부산광역시,북구,84.43,83.69,97.01
202601,부산광역시,사상구,70.4,83.81,70.95
202601,부산광역시,사하구,67.24,81.52,57.77
202601,부산광역시,서구,64.59,82.71,57.38
202601,부산광역시,수영구,70.75,83.81,66.09
202601,부산광역시,연제구,70.57,83.43,71.69
202601,부산광역시,영도구,63.74,77.09,53.73
202601,부산광역시,중구,70.54,80.86,74.5
202601,부산광역시,해운대구,100.33,-10.41,102.45
202602,부산광역시,강서구,78.91,83.25,87.54
202602,부산광역시,금정구,67.26,68.97,60.29
202602,부산광역시,기장군,81.76,82.72,92.94
202602,부산광역시,남구,69.22,83.05,63.09
202602,부산광역시,동구,68.85,81.51,69.8
202602,부산광역시,동래구,70.75,69.13,64.17
202602,부산광역시,부산진구,81.6,60.36,71.69
202602,부산광역시,북구,83.51,83.67,97.57
202602,부산광역시,사상구,69.98,83.46,71.33
202602,부산광역시,사하구,67.08,81.63,58.27
202602,부산광역시,서구,64.66,82.74,58.14
202602,부산광역시,수영구,70.52,83.4,67.04
202602,부산광역시,연제구,69.83,83.27,71.63
202602,부산광역시,영도구,63.77,80.75,54.07
202602,부산광역시,중구,70.36,80.41,75.46
202602,부산광역시,해운대구,99.96,-10.7,106.28
202603,부산광역시,강서구,83.54,82.64,92.73
202603,부산광역시,금정구,68.05,65.65,59.89
202603,부산광역시,기장군,80.75,82.93,88.33
202603,부산광역시,남구,70.32,81.38,62.64
202603,부산광역시,동구,69.27,80.58,69.04
202603,부산광역시,동래구,70.73,68.35,62.5
202603,부산광역시,부산진구,80.71,59.65,68.41
202603,부산광역시,북구,85.6,83.33,97.75
202603,부산광역시,사상구,70.85,83.61,69.42
202603,부산광역시,사하구,67.15,78.53,57.04
202603,부산광역시,서구,64.66,83.04,56.78
202603,부산광역시,수영구,70.02,83.85,64.13
202603,부산광역시,연제구,69.9,83.02,69.32
202603,부산광역시,영도구,63.78,79.52,53.25
202603,부산광역시,중구,69.85,80.96,71.55
202603,부산광역시,해운대구,95.5,0.35,93.89
202604,부산광역시,강서구,81,82.89,89.4
202604,부산광역시,금정구,67.68,65.05,61.26
202604,부산광역시,기장군,80.5,82.56,89.74
202604,부산광역시,남구,70.33,81.59,65.21
202604,부산광역시,동구,69.39,81.71,70.98
202604,부산광역시,동래구,70.65,70,62.97
202604,부산광역시,부산진구,80.29,59.81,70.16
202604,부산광역시,북구,84.19,83.52,97.15
202604,부산광역시,사상구,70.62,83.65,71.49
202604,부산광역시,사하구,67.3,79.84,58.48
202604,부산광역시,서구,64.85,83.34,58.76
202604,부산광역시,수영구,69.9,84.05,65.09
202604,부산광역시,연제구,69.71,83.58,70.06
202604,부산광역시,영도구,63.73,80.57,53.9
202604,부산광역시,중구,69.55,80.03,72.55
202604,부산광역시,해운대구,93.92,-2.83,95.66
202605,부산광역시,서구,65.21,82.8,
202605,부산광역시,중구,70.97,80.88,73.93
