기준연월,시·도코드,시·도명,시·군·구 코드,시·군·구 명,체류강도_지표코드,체류특성,체류특성_강도지수,,"※ ‘체류특성_강도지수’는 
실제 방문자 수 또는 비율(%)을 의미하는 값이 아니라, 
타권역 방문자 비중·숙박 비중·숙박일수별 방문자 수 
등을 기반으로 산출된 관광 체류 강도 세부 지표값입니다. 
따라서 수치가 높을수록 해당 체류 특성이 
강하게 나타나는 것으로 해석합니다.",,,,,
202502,26,부산광역시,26470,연제구,2101,타권역 방문자 비중,88.21,,,,,,,
202502,26,부산광역시,26470,연제구,2102,숙박 비중,59.04,,,,,,,
202502,26,부산광역시,26470,연제구,2103,1박 방문자수,63.27,,,,,,,
202502,26,부산광역시,26470,연제구,2104,2박 방문자수,65.42,,,,,,,
202502,26,부산광역시,26470,연제구,2105,3박 방문자수,76.08,,,,,,,
202502,26,부산광역시,26500,수영구,2101,타권역 방문자 비중,84.3,,,,,,,
202502,26,부산광역시,26500,수영구,2102,숙박 비중,67.15,,,,,,,
202502,26,부산광역시,26500,수영구,2103,1박 방문자수,78.21,,,,,,,
202502,26,부산광역시,26500,수영구,2104,2박 방문자수,80.75,,,,,,,
202502,26,부산광역시,26500,수영구,2105,3박 방문자수,77.69,,,,,,,
202502,26,부산광역시,26530,사상구,2101,타권역 방문자 비중,76.21,,,,,,,
202502,26,부산광역시,26530,사상구,2102,숙박 비중,60.35,,,,,,,
202502,26,부산광역시,26530,사상구,2103,1박 방문자수,63.42,,,,,,,
202502,26,부산광역시,26530,사상구,2104,2박 방문자수,64.63,,,,,,,
202502,26,부산광역시,26530,사상구,2105,3박 방문자수,74.71,,,,,,,
202502,26,부산광역시,26710,기장군,2101,타권역 방문자 비중,83.49,,,,,,,
202502,26,부산광역시,26710,기장군,2102,숙박 비중,61.93,,,,,,,
202502,26,부산광역시,26710,기장군,2103,1박 방문자수,73.21,,,,,,,
202502,26,부산광역시,26710,기장군,2104,2박 방문자수,70.44,,,,,,,
202502,26,부산광역시,26710,기장군,2105,3박 방문자수,74.53,,,,,,,
202503,26,부산광역시,26110,중구,2101,타권역 방문자 비중,115.3,,,,,,,
202503,26,부산광역시,26110,중구,2102,숙박 비중,55.22,,,,,,,
202503,26,부산광역시,26110,중구,2103,1박 방문자수,65.84,,,,,,,
202503,26,부산광역시,26110,중구,2104,2박 방문자수,64.72,,,,,,,
202503,26,부산광역시,26110,중구,2105,3박 방문자수,66.21,,,,,,,
202503,26,부산광역시,26140,서구,2101,타권역 방문자 비중,86.32,,,,,,,
202503,26,부산광역시,26140,서구,2102,숙박 비중,62.73,,,,,,,
202503,26,부산광역시,26140,서구,2103,1박 방문자수,63.19,,,,,,,
202503,26,부산광역시,26140,서구,2104,2박 방문자수,65.76,,,,,,,
202503,26,부산광역시,26140,서구,2105,3박 방문자수,73.54,,,,,,,
202503,26,부산광역시,26170,동구,2101,타권역 방문자 비중,107.12,,,,,,,
202503,26,부산광역시,26170,동구,2102,숙박 비중,55.71,,,,,,,
202503,26,부산광역시,26170,동구,2103,1박 방문자수,65.02,,,,,,,
202503,26,부산광역시,26170,동구,2104,2박 방문자수,65.55,,,,,,,
202503,26,부산광역시,26170,동구,2105,3박 방문자수,67.92,,,,,,,
202503,26,부산광역시,26200,영도구,2101,타권역 방문자 비중,76.24,,,,,,,
202503,26,부산광역시,26200,영도구,2102,숙박 비중,61.45,,,,,,,
202503,26,부산광역시,26200,영도구,2103,1박 방문자수,59.7,,,,,,,
202503,26,부산광역시,26200,영도구,2104,2박 방문자수,63.56,,,,,,,
202503,26,부산광역시,26200,영도구,2105,3박 방문자수,73.69,,,,,,,
202503,26,부산광역시,26230,부산진구,2101,타권역 방문자 비중,82.45,,,,,,,
202503,26,부산광역시,26230,부산진구,2102,숙박 비중,61.5,,,,,,,
202503,26,부산광역시,26230,부산진구,2103,1박 방문자수,92.05,,,,,,,
202503,26,부산광역시,26230,부산진구,2104,2박 방문자수,86.22,,,,,,,
202503,26,부산광역시,26230,부산진구,2105,3박 방문자수,114.4,,,,,,,
202503,26,부산광역시,26260,동래구,2101,타권역 방문자 비중,75.97,,,,,,,
202503,26,부산광역시,26260,동래구,2102,숙박 비중,59.72,,,,,,,
202503,26,부산광역시,26260,동래구,2103,1박 방문자수,70.39,,,,,,,
202503,26,부산광역시,26260,동래구,2104,2박 방문자수,73.53,,,,,,,
202503,26,부산광역시,26260,동래구,2105,3박 방문자수,87.23,,,,,,,
202503,26,부산광역시,26290,남구,2101,타권역 방문자 비중,71.26,,,,,,,
202503,26,부산광역시,26290,남구,2102,숙박 비중,64.36,,,,,,,
202503,26,부산광역시,26290,남구,2103,1박 방문자수,69.83,,,,,,,
202503,26,부산광역시,26290,남구,2104,2박 방문자수,73,,,,,,,
202503,26,부산광역시,26290,남구,2105,3박 방문자수,99.65,,,,,,,
202503,26,부산광역시,26320,북구,2101,타권역 방문자 비중,55.51,,,,,,,
202503,26,부산광역시,26320,북구,2102,숙박 비중,63.56,,,,,,,
