연월,행정구,외국인 방문자 수,외지인 방문자 수,현지인 방문자 수,전체 수
202401,사하구,68800,1875650,4113862,6058312
202401,서구,80415,1638749,1605348,3324512
202401,수영구,37564,3046344,2607850,5691758
202401,연제구,24669,2660452,1605110,4290231
202401,영도구,92840,1508941,1888628,3490409
202401,중구,113243,3293752,1206814,4613809
202401,해운대구,126553,5493033,7337827,12957413
202402,강서구,256754,3181034,2230392,5668180
202402,금정구,20307,2456643,3353798,5830748
202402,기장군,75844,3259389,2709738,6044971
202402,남구,86198,2457150,3756529,6299877
202402,동구,101421,2888137,1227380,4216938
202402,동래구,14966,3072500,3679498,6766964
202402,부산진구,126317,5859500,5757983,11743800
202402,북구,13684,2029150,4379193,6422027
202402,사상구,29943,2270170,2532474,4832587
202402,사하구,74385,1998276,3813257,5885918
202402,서구,87774,1647926,1465128,3200828
202402,수영구,44102,3004194,2436903,5485199
202402,연제구,23492,2580168,1489992,4093652
202402,영도구,112848,1486600,1728430,3327878
202402,중구,131961,3161788,1082207,4375956
202402,해운대구,163440,5430932,6727136,12321508
202403,강서구,338612,3596607,2523850,6459069
202403,금정구,36418,2959302,3717298,6713018
202403,기장군,102731,3401419,2982567,6486717
202403,남구,132228,3043884,4166026,7342138
202403,동구,172728,2990544,1398464,4561736
202403,동래구,16379,3406186,4015718,7438283
202403,부산진구,187815,6336004,6295800,12819619
202403,북구,16479,2091614,4793156,6901249
202403,사상구,52997,2679768,2845941,5578706
202403,사하구,114407,2191945,4171153,6477505
202403,서구,129426,1794303,1593630,3517359
202403,수영구,76471,3107489,2661617,5845577
202403,연제구,30579,2825879,1698823,4555281
202403,영도구,160801,1657222,1899468,3717491
202403,중구,217015,3421628,1184978,4823621
202403,해운대구,228220,5483394,7332269,13043883
202404,강서구,360517,3386050,2439826,6186393
202404,금정구,35653,2266922,3541930,5844505
202404,기장군,126289,3141824,2859388,6127501
202404,남구,145150,2311456,3990234,6446840
202404,동구,210478,2773894,1340622,4324994
202404,동래구,17856,3035994,3906861,6960711
202404,부산진구,208190,5562456,6055844,11826490
202404,북구,16197,1886773,4683102,6586072
202404,사상구,50067,2264136,2811396,5125599
202404,사하구,132692,1780054,4065142,5977888
202404,서구,147528,1597810,1588258,3333596
202404,수영구,106726,2900558,2597878,5605162
202404,연제구,29782,2475228,1728310,4233320
202404,영도구,187650,1379329,1861576,3428555
202404,중구,241691,3156454,1165336,4563481
202404,해운대구,296971,4970469,7103478,12370918
202405,강서구,349481,3509334,2545564,6404379
202405,금정구,31791,2689718,3924574,6646083
202405,기장군,110974,3667800,3008299,6787073
202405,남구,124441,2609680,4359422,7093543
202405,동구,178297,3172676,1447537,4798510
