연월,지역명,체류시간(분)
202410,해운대구,869
202410,강서구,605
202410,금정구,870
202410,기장군,646
202410,남구,1020
202410,동구,398
202410,동래구,940
202410,부산진구,785
202410,북구,1071
202410,사상구,841
202410,사하구,1368
202410,서구,790
202410,수영구,775
202410,연제구,910
202410,영도구,660
202410,중구,322
202411,해운대구,849
202411,강서구,548
202411,금정구,807
202411,기장군,633
202411,남구,941
202411,동구,362
202411,동래구,869
202411,부산진구,725
202411,북구,1044
202411,사상구,808
202411,사하구,1229
202411,서구,756
202411,수영구,709
202411,연제구,849
202411,영도구,721
202411,중구,310
202412,해운대구,888
202412,강서구,607
202412,금정구,936
202412,기장군,647
202412,남구,1077
202412,동구,392
202412,동래구,927
202412,부산진구,749
202412,북구,1181
202412,사상구,873
202412,사하구,1357
202412,서구,869
202412,수영구,767
202412,연제구,907
202412,영도구,716
202412,중구,317
202501,해운대구,959
202501,강서구,621
202501,금정구,981
202501,기장군,686
202501,남구,1157
202501,동구,444
202501,동래구,964
202501,부산진구,828
202501,북구,1253
202501,사상구,914
202501,사하구,1400
202501,서구,866
202501,수영구,803
202501,연제구,975
202501,영도구,789
202501,중구,358
202502,해운대구,890
202502,강서구,602
202502,금정구,959
202502,기장군,683
202502,남구,1090
202502,동구,348
202502,동래구,874
202502,부산진구,772
202502,북구,1050
202502,사상구,842
202502,사하구,1353
202502,서구,803
202502,수영구,754
202502,연제구,838
202502,영도구,783
202502,중구,347
202503,해운대구,1004
202503,강서구,633
202503,금정구,1759
202503,기장군,734
202503,남구,1739
202503,동구,424
202503,동래구,907
202503,부산진구,1064
202503,북구,1299
202503,사상구,1194
202503,사하구,1820
202503,서구,974
202503,수영구,825
202503,연제구,981
202503,영도구,1371
202503,중구,372
202504,해운대구,796
202504,강서구,504
202504,금정구,795
202504,기장군,572
202504,남구,872
202504,동구,366
202504,동래구,707
202504,부산진구,727
202504,북구,924
202504,사상구,712
202504,사하구,1166
202504,서구,744
202504,수영구,660
202504,연제구,752
202504,영도구,643
202504,중구,299
202505,해운대구,1079
202505,강서구,697
202505,금정구,1072
202505,기장군,721
202505,남구,1240
202505,동구,445
202505,동래구,1018
202505,부산진구,943
202505,북구,1461
202505,사상구,1001
202505,사하구,1626
202505,서구,891
202505,수영구,837
202505,연제구,1085
202505,영도구,851
202505,중구,348
202506,해운대구,851
202506,강서구,585
202506,금정구,884
202506,기장군,610
202506,남구,1006
202506,동구,381
202506,동래구,783
202506,부산진구,752
202506,북구,1106
202506,사상구,798
202506,사하구,1242
202506,서구,791
202506,수영구,700
202506,연제구,844
202506,영도구,726
202506,중구,301
202507,해운대구,951
202507,강서구,661
202507,금정구,1067
202507,기장군,707
202507,남구,1085
202507,동구,412
202507,동래구,887
202507,부산진구,812
202507,북구,1191
202507,사상구,902
202507,사하구,1407
202507,서구,849
202507,수영구,733
202507,연제구,905
202507,영도구,747
202507,중구,352
202508,해운대구,914
202508,강서구,608
202508,금정구,991
202508,기장군,629
202508,남구,1114
202508,동구,368
202508,동래구,819
202508,부산진구,801
202508,북구,1116
202508,사상구,888
202508,사하구,1262
202508,서구,856
202508,수영구,665
202508,연제구,893
202508,영도구,783
202508,중구,350
202509,해운대구,890
202509,강서구,578
202509,금정구,1404
202509,기장군,681
202509,남구,1358
202509,동구,423
202509,동래구,803
202509,부산진구,858
202509,북구,1039
202509,사상구,986
202509,사하구,1410
202509,서구,897
202509,수영구,689
202509,연제구,863
202509,영도구,1258
202509,중구,414
202510,해운대구,995
202510,강서구,582
202510,금정구,954
202510,기장군,639
202510,남구,1138
202510,동구,420
202510,동래구,959
202510,부산진구,814
202510,북구,1243
202510,사상구,908
202510,사하구,1334
202510,서구,851
202510,수영구,769
202510,연제구,958
202510,영도구,763
202510,중구,324
202511,해운대구,846
202511,강서구,584
202511,금정구,802
202511,기장군,606
202511,남구,975
202511,동구,382
202511,동래구,741
202511,부산진구,724
202511,북구,965
202511,사상구,799
202511,사하구,1215
202511,서구,745
202511,수영구,641
202511,연제구,837
202511,영도구,712
202511,중구,326
202512,해운대구,871
202512,강서구,588
202512,금정구,949
202512,기장군,653
202512,남구,1165
202512,동구,418
202512,동래구,838
202512,부산진구,763
202512,북구,1126
202512,사상구,881
202512,사하구,1284
202512,서구,822
202512,수영구,719
202512,연제구,852
202512,영도구,706
202512,중구,324
202601,해운대구,961
202601,강서구,657
202601,금정구,991
202601,기장군,724
202601,남구,1186
202601,동구,419
202601,동래구,897
202601,부산진구,782
202601,북구,1229
202601,사상구,905
202601,사하구,1381
202601,서구,826
202601,수영구,767
202601,연제구,935
202601,영도구,731
202601,중구,352
202602,해운대구,906
202602,강서구,585
202602,금정구,969
202602,기장군,625
202602,남구,1133
202602,동구,387
202602,동래구,877
202602,부산진구,751
202602,북구,1128
202602,사상구,830
202602,사하구,1311
202602,서구,824
202602,수영구,746
202602,연제구,912
202602,영도구,702
202602,중구,333
202603,해운대구,1012
202603,강서구,675
202603,금정구,1821
202603,기장군,721
202603,남구,1818
202603,동구,455
202603,동래구,881
202603,부산진구,1016
202603,북구,1271
202603,사상구,1246
202603,사하구,1705
202603,서구,1025
202603,수영구,834
202603,연제구,971
202603,영도구,1637
202603,중구,387
202604,해운대구,797
202604,강서구,512
202604,금정구,767
202604,기장군,579
202604,남구,881
202604,동구,368
202604,동래구,690
202604,부산진구,698
202604,북구,998
202604,사상구,751
202604,사하구,1145
202604,서구,790
202604,수영구,650
202604,연제구,802
202604,영도구,621
202604,중구,295
202605,해운대구,824
202605,강서구,550
202605,금정구,770
202605,기장군,592
202605,남구,1014
202605,동구,375
202605,동래구,731
202605,부산진구,720
202605,북구,986
202605,사상구,832
202605,사하구,1194
202605,서구,765
202605,수영구,662
202605,연제구,830
202605,영도구,608
202605,중구,295
202606,해운대구,834
202606,강서구,569
202606,금정구,845
202606,기장군,592
202606,남구,973
202606,동구,372
202606,동래구,687
202606,부산진구,726
202606,북구,1003
202606,사상구,789
202606,사하구,1150
202606,서구,796
202606,수영구,649
202606,연제구,859
202606,영도구,774
202606,중구,294
