행정구,연월,총 인구수
연제구,202503,210836
수영구,202503,170070
사상구,202503,196894
기장군,202503,174482
중구,202504,36902
서구,202504,102258
동구,202504,84703
영도구,202504,102332
부산진구,202504,361900
동래구,202504,273706
남구,202504,252217
북구,202504,264783
해운대구,202504,372606
사하구,202504,289721
금정구,202504,207974
강서구,202504,142313
연제구,202504,210682
수영구,202504,169602
사상구,202504,196516
기장군,202504,174538
중구,202505,36794
서구,202505,102176
동구,202505,84384
영도구,202505,102225
부산진구,202505,362692
동래구,202505,273718
남구,202505,251784
북구,202505,264444
해운대구,202505,372225
사하구,202505,289052
금정구,202505,207684
강서구,202505,143521
연제구,202505,210181
수영구,202505,169381
사상구,202505,196142
기장군,202505,174471
중구,202506,36709
서구,202506,102075
동구,202506,84144
영도구,202506,102024
부산진구,202506,362867
동래구,202506,273527
남구,202506,251349
북구,202506,264090
해운대구,202506,371994
사하구,202506,288403
금정구,202506,207432
강서구,202506,144904
연제구,202506,210442
수영구,202506,169188
사상구,202506,195740
기장군,202506,174421
중구,202507,36648
서구,202507,102025
동구,202507,83931
영도구,202507,101890
부산진구,202507,363174
동래구,202507,273416
남구,202507,250920
북구,202507,263760
해운대구,202507,371807
사하구,202507,287801
금정구,202507,207172
강서구,202507,146541
연제구,202507,210390
수영구,202507,169101
사상구,202507,195263
기장군,202507,174400
중구,202508,36545
서구,202508,101988
동구,202508,83829
영도구,202508,101735
부산진구,202508,363293
동래구,202508,273311
남구,202508,250739
북구,202508,263370
해운대구,202508,371475
사하구,202508,287296
금정구,202508,206864
강서구,202508,147519
연제구,202508,210575
수영구,202508,168855
사상구,202508,194897
기장군,202508,174420
중구,202509,36451
서구,202509,101820
동구,202509,83662
영도구,202509,101602
부산진구,202509,363640
동래구,202509,273146
남구,202509,250485
북구,202509,263057
해운대구,202509,371226
사하구,202509,286767
금정구,202509,206663
강서구,202509,148070
연제구,202509,210938
수영구,202509,168736
사상구,202509,194473
기장군,202509,174413
중구,202510,36366
서구,202510,101692
동구,202510,83505
영도구,202510,101501
부산진구,202510,363798
동래구,202510,272922
남구,202510,250205
북구,202510,262804
해운대구,202510,370907
사하구,202510,286316
금정구,202510,206424
강서구,202510,148631
연제구,202510,211011
수영구,202510,168454
사상구,202510,194155
기장군,202510,174497
중구,202511,36276
서구,202511,101604
동구,202511,83391
영도구,202511,101286
부산진구,202511,363556
동래구,202511,272714
남구,202511,249903
북구,202511,262396
해운대구,202511,370674
사하구,202511,285761
금정구,202511,206112
강서구,202511,149322
연제구,202511,210928
수영구,202511,168249
사상구,202511,193832
기장군,202511,174284
중구,202512,36223
서구,202512,101406
동구,202512,83352
영도구,202512,101104
부산진구,202512,363555
동래구,202512,272339
남구,202512,249640
북구,202512,262076
해운대구,202512,370561
사하구,202512,285207
금정구,202512,205802
강서구,202512,150008
연제구,202512,211062
수영구,202512,168062
사상구,202512,193412
기장군,202512,174429
중구,202601,36156
서구,202601,101157
동구,202601,83268
영도구,202601,100778
부산진구,202601,363573
동래구,202601,272245
남구,202601,250106
북구,202601,261720
해운대구,202601,370358
사하구,202601,284531
금정구,202601,205254
강서구,202601,150557
연제구,202601,211005
수영구,202601,167946
사상구,202601,193051
기장군,202601,174825
중구,202602,36109
서구,202602,101092
동구,202602,83060
영도구,202602,100471
부산진구,202602,363593
동래구,202602,271821
남구,202602,251746
북구,202602,261213
해운대구,202602,370139
사하구,202602,283656
금정구,202602,205154
강서구,202602,151594
연제구,202602,210841
수영구,202602,167775
사상구,202602,192776
기장군,202602,174805
중구,202603,36108
서구,202603,100975
동구,202603,83036
영도구,202603,100267
부산진구,202603,363502
동래구,202603,271239
남구,202603,252761
북구,202603,260766
해운대구,202603,369440
사하구,202603,282958
금정구,202603,205256
강서구,202603,152125
연제구,202603,210764
수영구,202603,167618
사상구,202603,192493
기장군,202603,174820
중구,202604,36118
서구,202604,100838
동구,202604,82981
영도구,202604,100176
부산진구,202604,363371
동래구,202604,270900
남구,202604,252913
북구,202604,260534
해운대구,202604,369127
사하구,202604,282273
금정구,202604,205096
강서구,202604,152538
연제구,202604,210832
수영구,202604,167617
사상구,202604,192220
기장군,202604,174802
중구,202605,36099
서구,202605,100843
동구,202605,82940
영도구,202605,100285
부산진구,202605,363320
동래구,202605,270530
남구,202605,253175
북구,202605,260225
해운대구,202605,368909
사하구,202605,281651
금정구,202605,205185
강서구,202605,152882
연제구,202605,210854
수영구,202605,167549
사상구,202605,192042
기장군,202605,174809
중구,202606,36030
서구,202606,100743
동구,202606,82869
영도구,202606,100111
부산진구,202606,363144
동래구,202606,270200
남구,202606,253413
북구,202606,259973
해운대구,202606,368730
사하구,202606,281189
금정구,202606,204894
강서구,202606,153262
연제구,202606,210806
수영구,202606,167476
사상구,202606,191791
기장군,202606,174793
