행정구,기준연월,업종대분류,현지인 소비액(만원),외지인 소비액(만원),외국인 소비액(만원)
금정구,202302,운송업,0,318957,599
금정구,202302,의료웰니스업,5698,75720,1247
금정구,202303,쇼핑업,126567,903509,15717
금정구,202303,숙박업,2951,11226,316
금정구,202303,식음료업,0,1090000,9859
금정구,202303,여가서비스업,12383,163194,962
금정구,202303,여행업,2457,8180,0
금정구,202303,운송업,183,363414,988
금정구,202303,의료웰니스업,5735,96218,2149
금정구,202304,쇼핑업,113573,851071,15069
금정구,202304,숙박업,3279,10767,276
금정구,202304,식음료업,0,1080000,10058
금정구,202304,여가서비스업,14668,157992,1340
금정구,202304,여행업,0,12921,0
금정구,202304,운송업,0,330937,878
금정구,202304,의료웰니스업,8131,86089,1167
금정구,202305,쇼핑업,125865,875586,16435
금정구,202305,숙박업,3652,12099,372
금정구,202305,식음료업,0,1160000,10690
금정구,202305,여가서비스업,13254,171721,1542
금정구,202305,여행업,0,12030,12
금정구,202305,운송업,0,337059,1236
금정구,202305,의료웰니스업,10581,88733,2030
금정구,202306,쇼핑업,102200,792307,16752
금정구,202306,숙박업,2867,11727,210
금정구,202306,식음료업,0,1070000,10315
금정구,202306,여가서비스업,17553,170662,1712
금정구,202306,여행업,2035,0,0
금정구,202306,운송업,0,334302,1009
금정구,202306,의료웰니스업,5790,91059,1953
금정구,202307,쇼핑업,109419,790479,16389
금정구,202307,숙박업,3616,13376,726
금정구,202307,식음료업,0,1040000,7844
금정구,202307,여가서비스업,19170,161838,1495
금정구,202307,여행업,0,3714,0
금정구,202307,운송업,0,343049,1054
금정구,202307,의료웰니스업,8503,81000,1751
금정구,202308,쇼핑업,83225,768206,17690
금정구,202308,숙박업,4245,11999,559
금정구,202308,식음료업,0,1060000,7497
금정구,202308,여가서비스업,14441,157837,1142
금정구,202308,여행업,247,593,0
금정구,202308,운송업,0,348547,844
금정구,202308,의료웰니스업,8520,82526,1677
금정구,202309,쇼핑업,105355,902729,20167
금정구,202309,숙박업,3999,9894,108
금정구,202309,식음료업,0,1080000,11987
금정구,202309,여가서비스업,12252,153878,1263
금정구,202309,여행업,546,13788,92
금정구,202309,운송업,0,358015,1047
금정구,202309,의료웰니스업,6829,90277,2004
금정구,202310,쇼핑업,124462,868641,21584
금정구,202310,숙박업,3579,9748,542
금정구,202310,식음료업,0,1120000,15485
금정구,202310,여가서비스업,10952,156858,1672
금정구,202310,여행업,2503,6226,0
금정구,202310,운송업,165,343913,1490
금정구,202310,의료웰니스업,9017,85722,2261
금정구,202311,쇼핑업,125417,819879,23028
금정구,202311,숙박업,3135,11679,618
금정구,202311,식음료업,0,1010000,14655
