기준연월,시군구명,일평균_이용금액(만원),일평균_이용건수,건당_평균이용금액(만원)
202402,부산진구,948235.0932,246200,3.851483
202402,북구,533765.33,145638,3.665014
202402,사상구,424348.7027,114269,3.713594
202402,사하구,437612.7769,132804,3.295178
202402,서구,219223.3941,50006,4.383942
202402,수영구,430998.5939,106516,4.046327
202402,연제구,421666.917,108280,3.894227
202402,영도구,127082.819,42313,3.003399
202402,중구,236626.9977,59241,3.994311
202402,해운대구,928696.5052,198731,4.673134
202403,강서구,468750.0628,92793,5.051567
202403,금정구,401769.8202,120132,3.344403
202403,기장군,459680.3092,97326,4.723099
202403,남구,405760.9571,131945,3.075228
202403,동구,204174.1624,66378,3.075931
202403,동래구,567687.0701,145327,3.906274
202403,부산진구,912271.6541,252970,3.606244
202403,북구,519654.9496,150180,3.460214
202403,사상구,411038.0916,120992,3.397234
202403,사하구,430051.6599,139731,3.077711
202403,서구,196560.1445,51502,3.816554
202403,수영구,414333.6017,107777,3.84436
202403,연제구,409407.3144,111758,3.663338
202403,영도구,125363.8665,44522,2.815773
202403,중구,232117.5757,59824,3.880008
202403,해운대구,878506.4453,200129,4.389701
202404,강서구,466440.05,95579,4.880152
202404,금정구,397878.3431,125662,3.166258
202404,기장군,449110.0628,98414,4.563477
202404,남구,405393.1554,136800,2.9634
202404,동구,209438.881,68721,3.047669
202404,동래구,569568.3198,150266,3.7904
202404,부산진구,914744.1003,261041,3.504216
202404,북구,511216.9055,153442,3.331662
202404,사상구,409629.0593,124584,3.287975
202404,사하구,435952.6209,146328,2.979284
202404,서구,205280.4248,54512,3.765784
202404,수영구,416147.9239,112894,3.686183
202404,연제구,402977.8567,115967,3.474936
202404,영도구,126249.6045,46088,2.739316
202404,중구,229134.7623,60009,3.81834
202404,해운대구,880706.1437,204794,4.300449
202405,강서구,458228.1855,95977,4.774354
202405,금정구,414111.1471,126908,3.263082
202405,기장군,467364.5454,103517,4.514858
202405,남구,410861.9258,136590,3.007994
202405,동구,211508.6762,70095,3.017457
202405,동래구,573857.3566,152549,3.76179
202405,부산진구,925614.4167,265853,3.481678
202405,북구,519607.2492,155416,3.343332
202405,사상구,412590.8933,124680,3.309199
202405,사하구,451423.2775,148385,3.042243
202405,서구,205961.6714,54649,3.76881
202405,수영구,412498.8235,116207,3.54969
202405,연제구,418173.0468,116790,3.580555
202405,영도구,131476.8333,47407,2.773363
202405,중구,239638.8937,63059,3.800233
202405,해운대구,908379.6363,209790,4.329947
202406,강서구,453247.0665,96468,4.698419
202406,금정구,392020.556,123826,3.165899
202406,기장군,442618.4149,100991,4.382751
202406,남구,407469.06,138046,2.95169
202406,동구,211114.0782,71151,2.967127
202406,동래구,567575.9761,153814,3.690015
202406,부산진구,887522.0327,261097,3.399204
202406,북구,513522.5073,155890,3.294134
202406,사상구,408560.914,124751,3.275011
202406,사하구,441642.004,147980,2.984471
202406,서구,201537.3349,54425,3.703029
202406,수영구,375667.0129,113007,3.324281
202406,연제구,410737.858,117572,3.493501
202406,영도구,129603.507,47691,2.717567
202406,중구,229710.6735,62531,3.673549
202406,해운대구,897342.0187,214486,4.183686
202407,강서구,458863.3843,97058,4.727723
202407,금정구,378099.424,117935,3.205998
202407,기장군,431338.2399,99849,4.319905
202407,남구,406210.9181,132833,3.058057
202407,동구,207203.3349,71029,2.917165
202407,동래구,568533.7429,152423,3.729973
