연월,지역,원업종,6대업종,6대업종매핑신뢰도,폐업수,분석단위,지역합계검증,모델사용권장,원천발행연월,원천값유형,중복검증원천수
202411,부산광역시 합계,"가죽, 가방 및 신발류 제조업",,,11,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,건설업,,,123,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,고무 및 프라스틱 제품 제조업,,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,광고업 및 기타 산업관련 서비스업,,,130,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,광업,,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,교육서비스업,,,97,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,금융 및 금융관련 서비스업,,,11,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,기계장비 등 장비 임대업,,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,기타 서비스업,,,138,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,기타 운송장비 제조업,,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,기타 전지기계 및 전기변환장치 제조업,,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,기타기계 및 장비 제조업,,,10,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,기타도급제조업,,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,농업,,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,도매 및 상품중개업,,,229,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,목재 및 나무제품 제조업(가구제외),,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,"법무, 회계, 건축 및 상담업",,,47,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,보건업,의료웰니스업,중간,10,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,보험 및 보험관련 서비스업,,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,부동산업,서비스업,부분,386,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,비금속광물 제품 제조업,,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,"사무, 계산 및 회계용 기계 조립업",,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,섬유제품 제조업,,,8,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,소매업,쇼핑업,중간,1065,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,숙박업,여행/숙박업,중간,18,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,어업,,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,여행알선 및 운수관련 서비스업,,,44,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,"영상, 음향 및 통신장비 제조업",,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,"오락, 문화, 운동관련 산업 및 수리업",,,84,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,운송업,운송업,중간,174,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,위생관련 서비스업,,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,음식료품 및 담배제조업,,,27,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,음식점업,식음료업,높음,665,부산업종,해당없음,부산업종추세,202511,전년동월,1
