기준연월,행정동,업종대분류명,외지인 소비액(만원),현지인 소비액(만원)
202203,강서구,여가서비스업,72693,2770
202203,강서구,운송업,3180000,498
202203,강서구,의료웰니스업,29705,322
202203,금정구,쇼핑업,836901,119094
202203,금정구,숙박업,12215,4483
202203,금정구,식음료업,752713,0
202203,금정구,여가서비스업,123879,10648
202203,금정구,운송업,350812,0
202203,금정구,의료웰니스업,70062,6083
202203,기장군,쇼핑업,3820000,16932
202203,기장군,숙박업,282963,8380
202203,기장군,식음료업,1220000,0
202203,기장군,여가서비스업,258443,16065
202203,기장군,여행업,17,0
202203,기장군,운송업,949401,79
202203,기장군,의료웰니스업,23313,3265
202203,남구,쇼핑업,689306,10626
202203,남구,숙박업,20233,6344
202203,남구,식음료업,673990,0
202203,남구,여가서비스업,81414,1713
202203,남구,여행업,52,330
202203,남구,운송업,1370000,0
202203,남구,의료웰니스업,59296,2739
202203,동구,쇼핑업,688363,18708
202203,동구,숙박업,37577,2865
202203,동구,식음료업,541774,0
202203,동구,여가서비스업,83312,157
202203,동구,여행업,10090,2982
202203,동구,운송업,677993,209
202203,동구,의료웰니스업,31012,0
202203,동래구,쇼핑업,1290000,95198
202203,동래구,숙박업,58981,11759
202203,동래구,식음료업,973207,0
202203,동래구,여가서비스업,56002,2000
202203,동래구,여행업,959,0
202203,동래구,운송업,388135,251
202203,동래구,의료웰니스업,76796,3379
202203,부산진구,쇼핑업,3310000,568322
202203,부산진구,숙박업,106535,18203
202203,부산진구,식음료업,2040000,0
202203,부산진구,여가서비스업,93354,3598
202203,부산진구,여행업,22403,1338
202203,부산진구,운송업,276695,565
202203,부산진구,의료웰니스업,267928,0
202203,북구,쇼핑업,6830000,46271
202203,북구,숙박업,20866,9333
202203,북구,식음료업,453734,0
202203,북구,여가서비스업,21900,5795
202203,북구,여행업,0,714
202203,북구,운송업,590453,28
202203,북구,의료웰니스업,38752,0
202203,사상구,쇼핑업,1050000,8539
202203,사상구,숙박업,22143,5984
202203,사상구,식음료업,626582,0
202203,사상구,여가서비스업,37149,1230
202203,사상구,여행업,29,0
202203,사상구,운송업,1370000,1169
202203,사상구,의료웰니스업,42145,781
202203,사하구,쇼핑업,599944,10887
202203,사하구,숙박업,13427,7073
202203,사하구,식음료업,510022,0
202203,사하구,여가서비스업,26667,1572
202203,사하구,여행업,359,0
202203,사하구,운송업,763245,123
202203,사하구,의료웰니스업,42140,0
202203,서구,쇼핑업,371224,1366
202203,서구,숙박업,29564,1289
202203,서구,식음료업,327803,0
