연월,행정구,평균이용금액,평균이용건수,건당평균이용금액,30일기준이용금액
202407,해운대구,25109.14777777778,6087,3,101
202408,강서구,28577.943750000002,6148,4,148
202408,금정구,12291.94,3693,3,102
202408,기장군,45419.676,10523,4,132
202408,남구,12130.789999999999,3981,3,100
202408,동구,8635.928333333333,3046,2,80
202408,동래구,22355.42076923077,5965,3,105
202408,부산진구,22460.787,6626,3,96
202408,북구,20426.415384615382,6092,2,86
202408,사상구,17333.14416666667,5191,3,94
202408,사하구,14074.31,4642,2,88
202408,서구,8273.987692307692,2172,3,101
202408,수영구,19112.451,5922,3,95
202408,연제구,17355.130833333333,5027,3,99
202408,영도구,6042.881818181818,2186,2,77
202408,중구,12713.47,3634,3,93
202408,해운대구,26275.434444444443,6469,3,99
202409,강서구,36359.47375,5911,5,169
202409,금정구,12823.1075,3822,3,107
202409,기장군,49173.214,10375,5,150
202409,남구,12400.228235294118,4056,3,100
202409,동구,9526.4475,3036,2,85
202409,동래구,22590.17538461538,5840,3,109
202409,부산진구,23008.017499999998,6462,3,99
202409,북구,21477.956153846153,5955,3,92
202409,사상구,18053.0025,5220,3,99
202409,사하구,14106.54375,4559,3,91
202409,서구,8236.714615384615,2130,3,105
202409,수영구,18477.603,5465,3,99
202409,연제구,18641.071666666667,4862,3,117
202409,영도구,6156.830000000001,2150,2,80
202409,중구,13424.043333333333,3446,3,102
202409,해운대구,26354.924444444445,5912,3,106
202410,강서구,36326.4,5929,5,166
202410,금정구,11894.85125,3826,3,104
202410,기장군,47070.544,9989,4,146
202410,남구,11871.665294117647,4046,3,97
202410,동구,9199.4925,2980,2,83
202410,동래구,21529.867692307693,5616,3,108
202410,부산진구,21966.3215,6388,3,95
202410,북구,20231.596923076922,5921,2,87
202410,사상구,16976.0375,5164,3,92
202410,사하구,13427.716875,4501,2,88
202410,서구,8213.314615384616,2122,3,105
202410,수영구,17552.760000000002,5371,3,97
202410,연제구,16967.288333333334,4815,3,104
202410,영도구,5693.419090909091,2089,2,77
202410,중구,13101.964444444444,3431,3,101
202410,해운대구,24748.510555555556,5804,3,102
202411,강서구,46999.14125,6133,6,186
202411,금정구,13216.180624999999,4115,3,108
202411,기장군,50194.496,10344,5,151
202411,남구,12924.30411764706,4342,3,98
202411,동구,9674.554166666667,3139,2,84
202411,동래구,23039.86076923077,5982,3,108
202411,부산진구,24539.007,6845,3,98
202411,북구,20798.066923076924,6087,2,89
202411,사상구,18040.210833333334,5445,3,93
202411,사하구,14499.219375,4782,2,89
202411,서구,8581.489230769232,2208,3,105
202411,수영구,18691.349,5726,3,97
202411,연제구,17870.850833333334,5043,3,105
202411,영도구,6049.629999999999,2193,2,79
202411,중구,14287.376666666667,3674,3,104
202411,해운대구,26713.594444444447,6136,3,103
202412,강서구,39188.012500000004,5975,6,183
202412,금정구,13136.8075,3899,3,116
202412,기장군,52340.534,10073,5,163
202412,남구,13277.276470588235,4201,3,105
202412,동구,9887.999166666666,3009,2,89
202412,동래구,24245.43,5885,3,116
202412,부산진구,25620.716999999997,6728,3,104
202412,북구,21557.705384615383,5952,3,94
202412,사상구,18633.974166666667,5255,3,100
202412,사하구,14780.48,4596,3,95
202412,서구,8843.158461538462,2131,3,114
202412,수영구,19599.43,5645,3,104
202412,연제구,18622.484166666665,4900,3,112
202412,영도구,6413.196363636364,2158,2,86
202412,중구,15496.46111111111,3856,3,106
202412,해운대구,28523.393888888888,6049,3,111
202501,강서구,28980.59125,5759,5,162
202501,금정구,12492.3175,3601,3,110
202501,기장군,50608.026,10031,5,161
202501,남구,12553.027647058823,3853,3,108
202501,동구,9204.833333333332,2893,2,89
202501,동래구,24405.63076923077,5847,3,117
202501,부산진구,25098.161,6603,3,105
202501,북구,22619.915384615386,6005,3,96
202501,사상구,17954.368333333336,4997,3,102
202501,사하구,14444.54625,4409,3,97
202501,서구,8430.049230769231,2015,3,112
202501,수영구,19407.568,5723,3,102
202501,연제구,18161.7475,4801,3,110
202501,영도구,6334.377272727273,2083,2,86
202501,중구,14517.247777777777,3632,3,107
202501,해운대구,28004.05222222222,5880,3,115
202502,강서구,26466.0175,5376,5,167
202502,금정구,12346.951875,3613,3,108
202502,기장군,44802.062,9583,4,144
202502,남구,12349.1,3919,3,104
202502,동구,9519.809166666668,3014,2,89
202502,동래구,23448.720769230767,5822,3,113
202502,부산진구,24504.126500000002,6641,3,102
202502,북구,20688.726153846153,5898,3,90
202502,사상구,16891.828333333335,4943,3,96
202502,사하구,14035.239375000001,4384,3,94
202502,서구,8573.013846153846,2056,3,112
202502,수영구,18473.228,5683,3,98
202502,연제구,17589.258333333335,4857,3,107
202502,영도구,5849.7190909090905,2029,2,82
202502,중구,13157.194444444445,3533,3,101
202502,해운대구,27819.179444444442,5893,3,114
202503,강서구,26054.03875,5496,5,156
202503,금정구,12581.495,4040,3,104
202503,기장군,46607.36,9981,4,145
202503,남구,12427.949411764706,4303,3,96
202503,동구,9052.279166666665,2987,2,81
202503,동래구,22280.46076923077,6051,3,105
202503,부산진구,23294.853,6792,3,96
202503,북구,20772.615384615383,6147,2,86
202503,사상구,17226.908333333333,5370,3,90
202503,사하구,14110.116875,4672,2,89
202503,서구,8274.917692307692,2172,3,105
202503,수영구,17887.533000000003,5744,3,94
202503,연제구,17038.066666666666,4994,3,99
202503,영도구,5887.916363636364,2146,2,79
202503,중구,13162.024444444445,3556,3,100
202503,해운대구,26317.885555555556,5846,3,113
202504,강서구,26659.105,5771,5,152
202504,금정구,12865.153124999999,4266,3,102
202504,기장군,45786.89,10218,4,140
202504,남구,12671.32705882353,4501,3,95
202504,동구,9456.133333333333,3115,2,82
202504,동래구,23345.646923076925,6373,3,104
202504,부산진구,23706.209,7029,3,94
202504,북구,21006.107692307694,6344,2,86
202504,사상구,17770.090833333332,5588,3,90
202504,사하구,14453.886875,4880,2,88
202504,서구,8979.604615384615,2348,3,106
202504,수영구,18422.042999999998,5921,3,93
202504,연제구,17579.149999999998,5203,3,100
202504,영도구,5951.730909090909,2227,2,75
202504,중구,13293.521111111111,3650,3,96
202504,해운대구,26717.250555555554,6059,3,111
202505,강서구,25967.56625,5751,4,148
202505,금정구,12737.459375,4191,3,100
202505,기장군,49874.752,10836,4,144
202505,남구,12606.748235294117,4374,3,95
202505,동구,9562.323333333334,3174,2,81
202505,동래구,23491.404615384618,6402,3,104
202505,부산진구,24068.0685,7183,3,94
202505,북구,21178.17923076923,6371,2,85
202505,사상구,17428.4275,5476,3,90
202505,사하구,14352.158125,4844,2,87
202505,서구,8514.07923076923,2263,3,103
202505,수영구,19162.713,6211,3,93
202505,연제구,17145.135833333334,5127,3,97
202505,영도구,6241.070000000001,2268,2,77
202505,중구,14196.887777777778,3893,3,98
202505,해운대구,26927.827222222222,6265,3,107
202506,강서구,25294.751249999998,5824,4,142
202506,금정구,12281.7575,4148,3,97
202506,기장군,45997.476,10624,4,135
202506,남구,12472.248235294117,4438,3,93
202506,동구,9269.661666666667,3164,2,80
202506,동래구,23155.417692307692,6450,3,102
202506,부산진구,23588.0085,7133,3,93
202506,북구,21269.75153846154,6438,2,84
202506,사상구,17200.523333333334,5485,2,89
202506,사하구,14075.203125,4838,2,86
202506,서구,8639.53,2287,3,104
202506,수영구,18335.876,6101,3,90
202506,연제구,17179.759166666667,5196,3,96
202506,영도구,6042.725454545454,2269,2,75
202506,중구,13356.67888888889,3794,3,93
202506,해운대구,26008.08111111111,6280,3,103
202507,강서구,26076.2075,6010,4,144
202507,금정구,12232.321875,3966,3,99
