연월,행정구,업종대분류,평균이용금액(만원),평균이용건수
202302,수영구,음식료품,2065,816
202302,수영구,의료휄니스업,7282,1024
202302,연제구,비관광,1874,57
202302,연제구,쇼핑업,7759,2129
202302,연제구,여가서비스업,4919,936
202302,연제구,여행/숙박업,1638,662
202302,연제구,운송업,1153,136
202302,연제구,음식/주점,9531,2976
202302,연제구,음식료품,2184,897
202302,연제구,의료휄니스업,6582,1023
202302,영도구,비관광,623,19
202302,영도구,쇼핑업,3564,1029
202302,영도구,여가서비스업,2568,458
202302,영도구,여행/숙박업,880,497
202302,영도구,운송업,647,64
202302,영도구,음식/주점,4773,1338
202302,영도구,음식료품,922,324
202302,영도구,의료휄니스업,3623,568
202302,중구,비관광,183,6
202302,중구,쇼핑업,1815,549
202302,중구,여가서비스업,1115,219
202302,중구,여행/숙박업,539,270
202302,중구,운송업,195,24
202302,중구,음식/주점,2438,724
202302,중구,음식료품,443,172
202302,중구,의료휄니스업,1567,248
202302,해운대구,비관광,2556,75
202302,해운대구,쇼핑업,11524,2625
202302,해운대구,여가서비스업,7222,1142
202302,해운대구,여행/숙박업,2689,801
202302,해운대구,운송업,2241,190
202302,해운대구,음식/주점,11870,3604
202302,해운대구,음식료품,2445,963
202302,해운대구,의료휄니스업,9078,1198
202303,강서구,비관광,2427,84
202303,강서구,쇼핑업,7941,2065
202303,강서구,여가서비스업,6266,895
202303,강서구,여행/숙박업,1199,357
202303,강서구,운송업,1719,141
202303,강서구,음식/주점,8366,2755
202303,강서구,음식료품,1800,805
202303,강서구,의료휄니스업,5156,866
202303,금정구,비관광,1154,39
202303,금정구,쇼핑업,5876,1694
202303,금정구,여가서비스업,4006,721
202303,금정구,여행/숙박업,1128,454
202303,금정구,운송업,806,98
202303,금정구,음식/주점,7111,2377
202303,금정구,음식료품,1632,717
202303,금정구,의료휄니스업,4749,799
202303,기장군,비관광,4011,136
202303,기장군,쇼핑업,14763,3748
202303,기장군,여가서비스업,10734,1638
202303,기장군,여행/숙박업,1968,694
202303,기장군,운송업,2649,334
202303,기장군,음식/주점,15330,4971
202303,기장군,음식료품,3413,1305
202303,기장군,의료휄니스업,9466,1664
202303,남구,비관광,1376,53
202303,남구,쇼핑업,7304,1988
202303,남구,여가서비스업,5371,846
202303,남구,여행/숙박업,1489,618
202303,남구,운송업,1179,136
202303,남구,음식/주점,8155,2687
202303,남구,음식료품,1778,758
202303,남구,의료휄니스업,6039,906
202303,동구,비관광,355,12
202303,동구,쇼핑업,2942,860
202303,동구,여가서비스업,2015,344
202303,동구,여행/숙박업,615,333
202303,동구,운송업,316,55
202303,동구,음식/주점,3536,1136
202303,동구,음식료품,715,286
202303,동구,의료휄니스업,2586,406
202303,동래구,비관광,2489,88
202303,동래구,쇼핑업,9752,2654
202303,동래구,여가서비스업,6244,1112
202303,동래구,여행/숙박업,1659,760
202303,동래구,운송업,1151,163
202303,동래구,음식/주점,11119,3655
202303,동래구,음식료품,2554,1083
202303,동래구,의료휄니스업,8177,1277
202303,부산진구,비관광,1232,45
202303,부산진구,쇼핑업,7785,2293
202303,부산진구,여가서비스업,5092,940
202303,부산진구,여행/숙박업,1550,791
202303,부산진구,운송업,981,138
202303,부산진구,음식/주점,9461,3075
202303,부산진구,음식료품,1966,869
202303,부산진구,의료휄니스업,6529,1041
202303,북구,비관광,1706,62
202303,북구,쇼핑업,8760,2521
202303,북구,여가서비스업,6580,1130
202303,북구,여행/숙박업,1471,717
202303,북구,운송업,1218,170
202303,북구,음식/주점,10422,3366
202303,북구,음식료품,2408,1077
202303,북구,의료휄니스업,7003,1210
202303,사상구,비관광,1049,38
