행정구명,사업장명,업태구분명,영업상태명,상세영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
금정구,몽블랑모텔,여관업,영업/정상,영업,198812,,부산광역시 금정구 서동로194번길 3 (서동),,129.10758563,35.21396029
금정구,백수장여관,여관업,영업/정상,영업,198409,,부산광역시 금정구 금강로 402 (구서동),,129.08750729,35.24359931
금정구,버튼호텔 구서역점,여관업,영업/정상,영업,200409,,부산광역시 금정구 금정로237번길 28 (구서동),,129.09169456,35.24742687
금정구,범스테이,여관업,영업/정상,영업,200209,,부산광역시 금정구 팔송로24번길 52 (청룡동),,129.089976,35.27450574
금정구,범어모텔,여관업,영업/정상,영업,199312,,부산광역시 금정구 청룡예전로 5 (청룡동),,129.09175798,35.27390224
금정구,베니스모텔,여관업,영업/정상,영업,200005,,부산광역시 금정구 서동로186번길 18-6 (서동),,129.10598784,35.21388027
금정구,보브호텔(VOV호텔),여관업,영업/정상,영업,200204,,부산광역시 금정구 금정로237번길 30 (구서동),,129.09167758,35.2475967
금정구,부림장,여관업,영업/정상,영업,199712,,부산광역시 금정구 서동로 193-3 (서동),,129.10750798,35.21442921
금정구,브라운도트호텔 구서역점,일반호텔,영업/정상,영업,201802,,부산광역시 금정구 중앙대로 1833 (구서동),,129.09186395,35.24793623
금정구,브이원모텔,여관업,영업/정상,영업,200205,,부산광역시 금정구 공단로 15 (금사동),,129.11068275,35.21635405
금정구,새로움 게스트룸,여관업,영업/정상,영업,198912,,부산광역시 금정구 중앙대로1541번길 25 (장전동),,129.08631799,35.22216899
금정구,새온천모텔,여관업,영업/정상,영업,199004,,부산광역시 금정구 금강로 173-3 (장전동),,129.08151901,35.22407437
금정구,세종장,여관업,영업/정상,영업,198512,,부산광역시 금정구 수림로49번길 3 (장전동),,129.08708619,35.2397669
금정구,송원장여관,여관업,영업/정상,영업,198408,,부산광역시 금정구 금강로 169 (장전동),,129.08146444,35.22375783
금정구,쉐르빌모텔,여관업,영업/정상,영업,198911,,부산광역시 금정구 서동로186번길 16 (서동),,129.10619646,35.21375698
금정구,아라모텔,여관업,영업/정상,영업,200502,,부산광역시 금정구 온천장로125번길 8 (장전동),,129.08482106,35.22246415
금정구,아마존모텔,여관업,영업/정상,영업,198908,,부산광역시 금정구 서동로194번길 21 (서동),,129.10689923,35.21330587
금정구,아젤리아,여관업,영업/정상,영업,198710,,부산광역시 금정구 식물원로29번길 19 (장전동),,129.0844387,35.22373007
금정구,아젤리아,여관업,영업/정상,영업,199901,,부산광역시 금정구 서부로4번길 14 (서동),,129.10551791,35.21515954
금정구,에스모텔,여관업,영업/정상,영업,198111,,부산광역시 금정구 청룡예전로43번길 17 (청룡동),,129.08921518,35.27750697
금정구,올레모텔,여관업,영업/정상,영업,200302,,부산광역시 금정구 식물원로29번길 25 (장전동),,129.08429851,35.22355288
금정구,우천장,여관업,영업/정상,영업,198812,,부산광역시 금정구 서동로 187-12 (서동),,129.1073045,35.21469411
금정구,웁스(oops)모텔,여관업,영업/정상,영업,198907,,부산광역시 금정구 식물원로27번길 6 (장전동),,129.08511738,35.22429049
금정구,유성장모텔,여관업,영업/정상,영업,198106,,부산광역시 금정구 청룡로 32 (청룡동),,129.08910745,35.2757398
금정구,은하모텔,여관업,영업/정상,영업,199308,,부산광역시 금정구 서동중심로 13 (서동),,129.10409553,35.21109037
금정구,이데아호텔,여관업,영업/정상,영업,198603,,부산광역시 금정구 가마실로 21 (부곡동),,129.09143051,35.22499277
금정구,이화모텔,여관업,영업/정상,영업,199409,,부산광역시 금정구 개좌로 15-1 (서동),,129.10875509,35.21544477
금정구,장미스테이,여관업,영업/정상,영업,199412,,부산광역시 금정구 서동로176번길 8 (서동),,129.10527149,35.2141765
금정구,제니스호텔,여관업,영업/정상,영업,200012,,부산광역시 금정구 금정로233번길 9 (구서동),,129.09072397,35.24497899
금정구,제이아트빌,숙박업(생활),영업/정상,영업,199602,,부산광역시 금정구 금사로 16-3 (서동),,129.10575628,35.21521355
금정구,젠모텔,여관업,영업/정상,영업,199808,,부산광역시 금정구 금사로 10-1 (서동),,129.10650392,35.21513092
금정구,조이(JOY),여관업,영업/정상,영업,198411,,부산광역시 금정구 반송로 414 (금사동),,129.1094442,35.2140855
금정구,진영장,여관업,영업/정상,영업,199008,,부산광역시 금정구 서동로186번길 12 (서동),,129.10616226,35.2139503
금정구,천우장,여관업,영업/정상,영업,197610,,부산광역시 금정구 개좌로 71-1 (금사동),,129.1117966,35.21983743
금정구,청룡여관,여관업,영업/정상,영업,198106,,부산광역시 금정구 청룡로 31 (청룡동),,129.08914796,35.27530287
금정구,청림모텔,여관업,영업/정상,영업,201302,,부산광역시 금정구 서동로186번길 7 (서동),,129.10672863,35.21391473
금정구,초원장,여관업,영업/정상,영업,198910,,부산광역시 금정구 서동로 187-10 (서동),,129.10714703,35.21472491
금정구,태양,숙박업(생활),영업/정상,영업,199408,,부산광역시 금정구 식물원로27번길 49 (장전동),,129.08464675,35.22286258
금정구,파래스모텔,여관업,영업/정상,영업,199803,,부산광역시 금정구 금사로 16-4 (서동),,129.10560718,35.21508841
금정구,향림장여관,여관업,영업/정상,영업,198110,,부산광역시 금정구 수림로50번길 93 (구서동),,129.0886121,35.24378455
금정구,헤이브,일반호텔,영업/정상,영업,200301,,부산광역시 금정구 서동로 193-14 (서동),,129.10802941,35.21480971
금정구,호텔 라찌,여관업,영업/정상,영업,199807,,부산광역시 금정구 중앙대로1763번길 36-18 (부곡동),,129.0911702,35.24258511
금정구,호텔 프렌치코드,여관업,영업/정상,영업,200304,,부산광역시 금정구 중앙대로1805번길 16 (구서동),,129.09228038,35.24488568
금정구,호텔빙고,일반호텔,영업/정상,영업,199508,,부산광역시 금정구 서부로4번길 16 (서동),,129.10566847,35.21528531
금정구,호텔캔들,여관업,영업/정상,영업,200006,,부산광역시 금정구 금정로231번길 8 (구서동),,129.09046135,35.24491885
금정구,금오별장,여관업,폐업,폐업,199503,202301,부산광역시 금정구 서동로194번길 7 (서동),,129.1074347,35.21390659
금정구,목란장,여관업,폐업,폐업,198501,202301,부산광역시 금정구 서동로 197-1 (서동),,129.10826043,35.21433186
금정구,삼성여인숙,여인숙업,폐업,폐업,197203,202501,부산광역시 금정구 서동로 145-7 (서동),,129.10222531,35.21540074
금정구,서동온천,여관업,폐업,폐업,198112,202301,부산광역시 금정구 서동시장뒷길 13,,129.10248029,35.21552446
금정구,우보,숙박업(생활),폐업,폐업,198505,202511,부산광역시 금정구 금강로 167 (장전동),,129.08139608,35.22360589
금정구,제일여인숙,여인숙업,폐업,폐업,197304,202301,부산광역시 금정구 서동시장뒷길 43 (서동),,129.10213091,35.2165973
금정구,조이(JOY)케스트하우스,여관업,폐업,폐업,198509,202311,부산광역시 금정구 반송로 414-1 (금사동),,129.10941372,35.21399411
금정구,하트빌,숙박업(생활),폐업,폐업,198908,202410,부산광역시 금정구 온천장로125번길 28-18 (장전동),,129.08447453,35.22353396
기장군,(주)동부산온천호텔,관광호텔,영업/정상,영업,200708,,부산광역시 기장군 장안읍 장안로 38,,129.25317157,35.34332601
기장군,2PM호텔,여관업,영업/정상,영업,199605,,부산광역시 기장군 기장읍 차성로 371,,129.21371857,35.25073314
기장군,MVG모텔,여관업,영업/정상,영업,199511,,부산광역시 기장군 기장읍 기장해안로 438,,129.22203573,35.2140159
기장군,고움료칸호텔 기장점,일반호텔,영업/정상,영업,201112,,부산광역시 기장군 정관읍 산단1로 98-41,,129.18210695,35.31609648
기장군,골든베이,숙박업(생활),영업/정상,영업,199706,,"부산광역시 기장군 기장읍 기장해안로 536, 1~2층",,129.22703004,35.22123916
