행정구명,사업장명,업태구분명,영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
수영구,헤븐리 펜트하우스,호스텔업,영업,201508,,부산광역시 수영구 민락수변로 13-1 (민락동),부산광역시 수영구 민락동 181-143,129.1241683,35.15462201
수영구,광안리오션프론트,호스텔업,영업,201508,,"부산광역시 수영구 광안해변로 247, 6층 (민락동)",부산광역시 수영구 민락동 178-19,129.120842,35.1550344
수영구,Playa,호스텔업,영업,201507,,"부산광역시 수영구 광안해변로 191, 4~5층 (광안동)",부산광역시 수영구 광안동 197-16,129.1166653,35.15156849
수영구,벡스코호스텔,호스텔업,영업,201507,,부산광역시 수영구 광안해변로284번길 43 (민락동),부산광역시 수영구 민락동 181-212,129.1256032,35.15403692
부산진구,부산비즈니스호텔,관광호텔업,영업,201506,,부산광역시 부산진구 부전로 67 (부전동),부산광역시 부산진구 부전동 512-4,129.0545283,35.15611224
해운대구,올라호텔,관광호텔업,영업,201412,,부산광역시 해운대구 송정광어골로 49 (송정동),부산광역시 해운대구 송정동 437-9,129.1968208,35.17686567
해운대구,이비스버젯앰배서더 해운대,관광호텔업,폐업,201412,202403,부산광역시 해운대구 해운대해변로209번길 8 (우동),부산광역시 해운대구 우동 651-1,129.1544888,35.15907844
해운대구,베니키아해운대호텔마리안느(주),관광호텔업,영업,201411,,"부산광역시 해운대구 해운대해변로 310 (중동, 마리안느호텔)",부산광역시 해운대구 중동 1400-57 마리안느호텔,129.1646479,35.16142348
해운대구,브라운도트 해운대점,관광호텔업,영업,201407,,"부산광역시 해운대구 구남로24번길 16 (우동, 인더스트리 호텔)",부산광역시 해운대구 우동 542-28,129.1593336,35.16160813
해운대구,제이비디자인호텔(JB Design HOTEL),관광호텔업,영업,201401,,부산광역시 해운대구 구남로12번길 31 (우동),부산광역시 해운대구 우동 637-1,129.1580993,35.16172893
해운대구,팝콘호스텔,호스텔업,영업,201308,,"부산광역시 해운대구 해운대해변로 321, 해운대구중동마린타워 11층 (중동)",부산광역시 해운대구 중동 1398-7 해운대구중동마린타워,129.1652704,35.16249273
해운대구,파크하얏트부산,관광호텔업,영업,201212,,부산광역시 해운대구 마린시티1로 51 (우동),부산광역시 해운대구 우동 1409-3,129.1417836,35.15648141
부산진구,센트럴 세븐호텔 바이권 부산 서면,관광호텔업,영업,201110,,"부산광역시 부산진구 중앙대로 777 (부전동, 서면호텔 복합시설)",부산광역시 부산진구 부전동 573-7,129.0618882,35.16183511
부산진구,토요코인 부산서면,관광호텔업,영업,201003,,"부산광역시 부산진구 서전로 39 (전포동, 토요코인부산지점)",부산광역시 부산진구 전포동 666-8,129.064053,35.15796792
해운대구,리베로 호텔,관광호텔업,영업,200906,,"부산광역시 해운대구 구남로29번길 21, 세이브존 8~16층 (중동)",부산광역시 해운대구 중동 1380-14 세이브존,,
해운대구,Plaire(플레르) 관광호텔,관광호텔업,영업,200812,,부산광역시 해운대구 송정광어골로 70 (송정동),부산광역시 해운대구 송정동 441-6,129.1958465,35.17538187
해운대구,대우월드마크콘도미니엄,휴양콘도미니엄업,영업,200807,,부산광역시 해운대구 마린시티1로 137 (우동),부산광역시 해운대구 우동 1435-2,129.1468671,35.15597393
해운대구,팔레드시즈,휴양콘도미니엄업,영업,200802,,"부산광역시 해운대구 해운대해변로298번길 24, 팔레드시즈 (중동)",부산광역시 해운대구 중동 1124-2 팔레드시즈,129.1665761,35.16012863
서구,부산비치관광호텔,,휴업,200702,,부산광역시 서구 등대로 113 (남부민동),부산광역시 서구 남부민동 523-44,129.0262281,35.08497307
서구,부산비치관광호텔,관광호텔업,영업,200702,,부산광역시 서구 등대로 113 (남부민동),부산광역시 서구 남부민동 523-44,129.0262281,35.08497307
서구,부산비치관광호텔,,영업,200612,,부산광역시 서구 등대로 113 (남부민동),부산광역시 서구 남부민동 523-44,129.0262281,35.08497307
수영구,호텔 호메르스,관광호텔업,영업,200411,,부산광역시 수영구 광안해변로 217 (광안동),부산광역시 수영구 광안동 193-1,129.1179769,35.15342426
수영구,호텔AG405,관광호텔업,영업,200407,,부산광역시 수영구 민락수변로 141 (민락동),부산광역시 수영구 민락동 110-60,129.1345013,35.1564893
해운대구,한화호텔앤드리조트주식회사,휴양콘도미니엄업,영업,200212,,부산광역시 해운대구 마린시티3로 52 (우동),부산광역시 해운대구 우동 1410-3,129.145134,35.15438499
해운대구,신세계조선호텔 부산,관광호텔업,영업,200212,,부산광역시 해운대구 동백로 67 (우동),부산광역시 해운대구 우동 737,129.1539678,35.15599299
해운대구,동남해상관광호텔주식회사,,휴업,200209,,"부산광역시 해운대구 마린시티1로 138  (우동,지선)",부산광역시 해운대구 우동 1443 지선,129.1470637,35.15465357
해운대구,(주)호텔일루아,관광호텔업,영업,200209,,부산광역시 해운대구 달맞이길 97 (중동),부산광역시 해운대구 중동 1509-2,129.1741512,35.15925709
해운대구,동남해상관광호텔(주),,휴업,200207,,"부산광역시 해운대구 마린시티1로 138  (우동,지선 해상)",부산광역시 해운대구 우동 1443 지선 해상,129.1470637,35.15465357
해운대구,동남해상관광호텔(주),,휴업,200207,,부산광역시 해운대구 마린시티1로 138  (우동),부산광역시 해운대구 우동 1443,129.1470637,35.15465357
