행정구명,사업장명,업태구분명,경도,위도
강서구,더광장랜드공인중개사사무소,부동산,128.9030875,35.19359342
강서구,둔치도모두공인중개사사무소,부동산,128.8981102,35.16178748
강서구,땅사기좋은날공인중개사사무소,부동산,128.9033023,35.19197692
강서구,마을공인중개사사무소,부동산,128.8988474,35.19584087
강서구,백산공인중개사사무소,부동산,128.8943767,35.19715455
강서구,삼거리공인중개사사무소,부동산,128.9014474,35.19623263
강서구,송산공인중개사,부동산,128.8920736,35.20294015
강서구,죽림공인중개사무소,부동산,128.9020488,35.19518682
강서구,최지우공인중개사사무소,부동산,128.9030875,35.19359342
강서구,태양공인중개사사무소,부동산,128.8910664,35.19785517
강서구,토박이공인중개사사무소,부동산,128.9026315,35.20181039
강서구,홍부동산공인중개사사무소,부동산,128.9031644,35.19312359
강서구,가락,소매,128.9020488,35.19518682
강서구,가락제일주유소,소매,128.903842,35.1911123
강서구,가락충전소,소매,128.8901464,35.208846
강서구,가락홍삼화장품,소매,128.903095,35.19250286
강서구,가온상사,소매,128.8904429,35.19795502
강서구,경남상회,소매,128.8966789,35.19323439
강서구,금룡주유소,소매,128.902876,35.18640527
강서구,나무시장,소매,128.8896223,35.20944896
강서구,낙동,소매,128.9074529,35.21032279
강서구,남산조경,소매,128.8896223,35.20944896
강서구,다올키친웨어,소매,128.8987396,35.1709247
강서구,더비티컴퍼니,소매,128.9009744,35.1985471
강서구,둔치도슈퍼,소매,128.8930273,35.16028094
강서구,명성통상,소매,128.8895627,35.17416835
강서구,문도자기,소매,128.8904535,35.19699059
강서구,밋앤밋,소매,128.9015101,35.1786675
강서구,백광현외1인,소매,128.8884376,35.17487981
강서구,부산소마고사회적협동조합,소매,128.9039635,35.18926296
강서구,부산헌옷방문수거,소매,128.8884376,35.17487981
강서구,서희매트,소매,128.8965052,35.19331822
강서구,성원상사,소매,128.8895627,35.17416835
강서구,신금상회,소매,128.8993462,35.17953957
강서구,신중앙유통,소매,128.8868698,35.21387167
강서구,신항만주유소,소매,128.8973029,35.17663373
강서구,신항코끼리주유소,소매,128.8948447,35.17570795
강서구,쑥쑥식물병원,소매,128.901359,35.19997394
강서구,씨케이,소매,128.8884376,35.17487981
강서구,아시아마트,소매,128.890498,35.19607068
강서구,에어텍,소매,128.9013849,35.20014476
강서구,오봉주유소,소매,128.9008675,35.19584522
강서구,오사카무역,소매,128.9137563,35.21502659
강서구,와이드리테일,소매,128.9005974,35.17953796
강서구,원더팜,소매,128.9010385,35.18669548
강서구,원유통,소매,128.9108568,35.21219763
강서구,월드전장,소매,128.9007221,35.17169566
강서구,육사종합상사,소매,128.9031895,35.19278976
강서구,은성낚시슈퍼,소매,128.9005948,35.17895223
강서구,이든공조,소매,128.8762027,35.18885825
강서구,이마트24R강서,소매,128.9005594,35.19581401
강서구,정우유통,소매,128.9015188,35.19741206
강서구,제이시스템,소매,128.9031496,35.19343023
강서구,제이앤제이SUCCESS,소매,128.8912868,35.20357426
강서구,제이에스텍,소매,128.9016523,35.19089439
강서구,죽동전기,소매,128.8916367,35.20398334
강서구,죽림LPG충전소,소매,128.8934608,35.20073759
강서구,지에스25강서,소매,128.9006701,35.19632594
강서구,진바이오,소매,128.889048,35.14812288
강서구,참브레드,소매,128.9006559,35.17922163
강서구,크린ECO,소매,128.8952437,35.19477987
강서구,펫티몰,소매,128.9005938,35.17938482
강서구,피렌체,소매,128.8989084,35.17346341
강서구,필채움퍼니처,소매,128.889211,35.1978571
강서구,하늘처럼주,소매,128.8896223,35.20944896
강서구,한성타이어,소매,128.9005839,35.17801516
강서구,해성상사,소매,128.8973475,35.19318786
강서구,호은다육,소매,128.8887724,35.15471491
강서구,홍민산업,소매,128.9103764,35.21278197
강서구,가락헤어,수리·개인,128.9005594,35.19581401
강서구,고프로,수리·개인,128.9005651,35.17485229
강서구,동호카센타,수리·개인,128.8974815,35.16779026
강서구,디피에프서비스신항,수리·개인,128.9010107,35.20245767
강서구,로얄설비,수리·개인,128.8928222,35.1954576
강서구,스타,수리·개인,128.8900674,35.19738413
강서구,오봉카마스타,수리·개인,128.9008675,35.19584522
강서구,유로티엠오토파트,수리·개인,128.9016098,35.17823337
강서구,은성미용실,수리·개인,128.9137691,35.21463888
강서구,지앤디팩토리,수리·개인,128.8997536,35.1781814
강서구,지에프피아노,수리·개인,128.8878189,35.19700467
강서구,천일종합정비,수리·개인,128.8993192,35.17649398
강서구,태화미용실,수리·개인,128.9039162,35.19240885
강서구,퍼시픽송산주유소,수리·개인,128.8908893,35.20915882
강서구,주옥홈,숙박,128.8837969,35.18637921
강서구,JR오피스,시설관리·임대,128.9008675,35.19584522
강서구,강서랜드,시설관리·임대,128.9007859,35.17018967
강서구,건우환경,시설관리·임대,128.8920736,35.20294015
강서구,국제에프티엘주,시설관리·임대,128.897689,35.18144003
강서구,금성가설,시설관리·임대,128.9041614,35.18786301
강서구,동아피엔씨,시설관리·임대,128.897689,35.18144003
강서구,부경전동지게차,시설관리·임대,128.9046054,35.20359073
강서구,부산지게차,시설관리·임대,128.9012532,35.17329144
강서구,산들농원조경,시설관리·임대,128.9014474,35.19623263
강서구,안전한,시설관리·임대,128.8899636,35.19811571
강서구,에이치디렌탈,시설관리·임대,128.8949559,35.19798359
강서구,우리스쿨,시설관리·임대,128.889211,35.1978571
강서구,자성로지스,시설관리·임대,128.8976084,35.19685161
강서구,조은지게차,시설관리·임대,128.9003364,35.1777577
강서구,지홍리프트,시설관리·임대,128.879516,35.20116218
강서구,진민개발,시설관리·임대,128.8898764,35.20620072
강서구,팔도투어,시설관리·임대,128.8971779,35.16653334
강서구,한국포크리프트,시설관리·임대,128.9046054,35.20359073
강서구,해동렌탈,시설관리·임대,128.9034494,35.20157223
강서구,해동리프트,시설관리·임대,128.9099331,35.21026566
강서구,금빛체험정원,예술·스포츠,128.8891899,35.147616
강서구,하이멍,예술·스포츠,128.8905632,35.16998021
강서구,황금손로또,예술·스포츠,128.9006559,35.17922163
강서구,竹田家,음식,128.8991196,35.16083442
강서구,가락돼지국밥,음식,128.9006701,35.19632594
강서구,가락한식식당,음식,128.9015388,35.1963844
강서구,가야다원,음식,128.9065978,35.20521754
강서구,가야루,음식,128.9066685,35.20495508
강서구,갈밭식당,음식,128.9035872,35.20136279
강서구,강가의아침,음식,128.900018,35.16690337
강서구,강나루,음식,128.8938347,35.1605567
강서구,강변마당,음식,128.9059509,35.20478615
강서구,고모리커피공장,음식,128.9014061,35.1958728
강서구,굿모닝뷔페,음식,128.8988474,35.19584087
강서구,금강가든,음식,128.8988944,35.16106325
강서구,금빛노을,음식,128.8891899,35.147616
강서구,금천보신원식당,음식,128.8811348,35.19851457
강서구,꼬치꼬치,음식,128.9006701,35.19632594
강서구,농부카페,음식,128.9185606,35.21713138
강서구,더리버온,음식,128.8887588,35.15032631
강서구,더리버온,음식,128.8887588,35.15032631
강서구,동네음식점,음식,128.9137966,35.21487275
강서구,뜰안,음식,128.8978258,35.17646332
강서구,맛찬도시락,음식,128.9005594,35.19581401
강서구,명품달인김밥,음식,128.9006559,35.17922163
강서구,모두모두자연농원,음식,128.8981102,35.16178748
강서구,박가네곰탕,음식,128.903644,35.18686182
강서구,백년식당,음식,128.8937763,35.19777676
강서구,본심돼지국밥,음식,128.9006701,35.19632594
강서구,브이오디에이,음식,128.9046185,35.1900457
강서구,비아조,음식,128.9091557,35.20848457
강서구,새터식당,음식,128.8996738,35.19314237
강서구,서낙동강가든,음식,128.9162034,35.21635766
강서구,소연할매추어탕,음식,128.9137563,35.21502659
강서구,시골밥상,음식,128.9099331,35.21026566
강서구,시골오매국수,음식,128.9003358,35.17348608
강서구,아궁이,음식,128.9031193,35.19260161
강서구,앙로고택,음식,128.9067382,35.2051162
강서구,앙탄,음식,128.9065898,35.20487522
강서구,예섬,음식,128.9075875,35.20622029
강서구,오플로우,음식,128.9010372,35.17250178
강서구,옥탑방,음식,128.9014664,35.17773095
강서구,원조할매추어탕,음식,128.9145312,35.21482509
강서구,제일가든,음식,128.9038007,35.19263596
강서구,종가집한식뷔페,음식,128.8994675,35.19654308
강서구,종가집한식뷔페,음식,128.8994675,35.19654308
강서구,주주원,음식,128.9033023,35.19197692
강서구,죽동길35국수,음식,128.8925141,35.19731887
강서구,죽림가든,음식,128.8978219,35.19564968
강서구,짬뽕&돈까스,음식,128.8994675,35.19654308
강서구,칡넝쿨한식,음식,128.8994675,35.19654308
강서구,카페인,음식,128.9032871,35.19226554
강서구,컴포즈커피가락호계로점,음식,128.9006701,35.19632594
강서구,푸디1354,음식,128.9029225,35.18557545
강서구,헐스,음식,128.904533,35.2033125
강서구,효전산업구내식당,음식,128.899847,35.19963721
강서구,흐른,음식,128.9060955,35.20439636
강서구,가온누리이엔지,과학·기술,128.935906,35.21691825
강서구,강서조은날인테리어신축자재유통판매,과학·기술,128.9279618,35.19860692
강서구,강원테크,과학·기술,128.9427749,35.21991723
강서구,고성산업,과학·기술,128.9153313,35.17548476
강서구,글피,과학·기술,128.9212703,35.20956354
강서구,기림건축인테리어,과학·기술,128.9440765,35.21555266
강서구,기정후렘,과학·기술,128.9424819,35.2140733
강서구,나실디자인,과학·기술,128.9406394,35.21601336
강서구,대찬ENT,과학·기술,128.9425513,35.21191838
강서구,무진에이앤엘,과학·기술,128.9413423,35.21602011
강서구,바른,과학·기술,128.9222513,35.20971919
강서구,베이스먼트[BASEMENT],과학·기술,128.9316007,35.21874434
강서구,서호인테리어,과학·기술,128.9310309,35.21832988
강서구,세인,과학·기술,128.9440123,35.21654499
강서구,승무행정사사무소,과학·기술,128.9168909,35.17553217
강서구,싸이퍼,과학·기술,128.9366009,35.21797052
강서구,쎈미디어,과학·기술,128.9097461,35.16710181
강서구,에스지잉글리시,과학·기술,128.9269323,35.20056987
강서구,여름숲,과학·기술,128.9381772,35.21683684
강서구,우신기계,과학·기술,128.9232109,35.21129903
강서구,은일테크,과학·기술,128.9174029,35.19732372
강서구,이케이개발,과학·기술,128.934837,35.21397948
강서구,제이제이태양에너지,과학·기술,128.9422938,35.21355364
강서구,제이플랜애드,과학·기술,128.9174601,35.18060585
강서구,초선푸드,과학·기술,128.9380396,35.21751492
강서구,카페식당아파트병원학원상가인테리어,과학·기술,128.9352504,35.20549278
강서구,투킴스파트너스,과학·기술,128.9318925,35.21946963
강서구,팀애드,과학·기술,128.9413423,35.21602011
강서구,해인행정사사무소,과학·기술,128.9369036,35.21869563
강서구,화명인테리어,과학·기술,128.9407364,35.2145519
강서구,민혜신개인과외,교육,128.938141,35.21900925
강서구,아희교육,교육,128.9134292,35.19453886
강서구,용인대꿈꾸는태권도,교육,128.9164532,35.13957266
강서구,콩님콩방,교육,128.9370559,35.21771091
강서구,한국강연그룹,교육,128.9366009,35.21797052
강서구,금맥공인중개사사무소,부동산,128.9157653,35.17527062
강서구,뉴해동공인중개사사무소,부동산,128.937102,35.21641248
강서구,대박터진공인중개사사무소,부동산,128.9074279,35.13973313
강서구,대사역부동산공인중개사사무소,부동산,128.938344,35.21738388
강서구,덕분공인중개사사무소,부동산,128.9257518,35.19800226
강서구,동서공인중개사사무소,부동산,128.9278566,35.20112289
강서구,럭키부동산공인중개사사무소,부동산,128.919171,35.18334538
강서구,미래공인중개사사무소,부동산,128.9164532,35.13957266
강서구,밸류랩,부동산,128.9269323,35.20056987
강서구,복부자공인중개사사무소,부동산,128.9207166,35.18652007
강서구,부동산전망대에서공인중개사사무소,부동산,128.9130514,35.16437311
강서구,비젼공인중개사사무소,부동산,128.9131626,35.16724614
강서구,삼성공인중개사사무소,부동산,128.9162698,35.17665947
강서구,서부산공인중개사,부동산,128.9129051,35.1918526
강서구,성지공인중개사사무소/성지건축,부동산,128.9257518,35.19800226
강서구,수림공인중개사사무소,부동산,128.9268263,35.19933693
강서구,스마트공인중개사사무소,부동산,128.9261195,35.19869933
강서구,시운공인중개사사무소,부동산,128.9391511,35.21715467
강서구,신강남공인중개사사무소,부동산,128.9213972,35.18885235
강서구,신원공인중개사,부동산,128.9384753,35.21736376
강서구,신화공인중개사사무소,부동산,128.918031,35.1796776
강서구,양지공인중개사사무소,부동산,128.9374855,35.21822671
강서구,에코그린공인중개사사무소,부동산,128.9164532,35.13957266
강서구,에코김민아부동산공인중개사사무소,부동산,128.9144723,35.14539864
강서구,에코델타시티공인중개사사무소,부동산,128.918748,35.18122529
