행정구명,사업장명,도로명주소,지번주소,경도,위도
동래구,타이빈,부산광역시 동래구 금강로73번길 12 (온천동),,129.0773274,35.21629974
수영구,타타에스프레소바,부산광역시 수영구 무학로33번길 57,,129.1179253,35.16406745
기장군,탐복,부산광역시 기장군 일광면 문오성길 31,,129.2577488,35.28290396
동래구,태백관,부산광역시 동래구 충렬대로285번길 31 (칠산동),,129.0908961,35.20183495
영도구,태종대온천찜질방,부산광역시 영도구 태종로 808,,129.0787787,35.06458897
영도구,태종사,부산광역시 영도구 전망로 119,,129.0897752,35.05600958
영도구,토로,부산광역시 영도구 태종로750번길 46 (동삼동),,129.0782008,35.06921345
금정구,토비코,부산광역시 금정구 금정로 45,,129.085793,35.22886793
부산진구,토요코인호텔 부산서면,부산광역시 부산진구 서전로 39 (전포동),,129.0640802,35.15800603
금정구,톤쇼우,부산광역시 금정구 금강로 247-10 (장전동),,129.0842987,35.23048717
북구,툇마루,부산광역시 북구 금곡대로285번길 81 (화명동),,129.0090301,35.23424369
부산진구,트래블라이트,부산광역시 부산진구 서면로68번길 52 (부전동),,129.0582836,35.15468129
동래구,파나카F,부산광역시 동래구 금정마을로 54,,129.0627927,35.21219715
해운대구,파라다이스 호텔 부산,부산광역시 해운대구 해운대해변로 296,,129.1641214,35.15994099
연제구,팔미초밥,부산광역시 연제구 월드컵대로119번길 8,,129.0818168,35.18497
기장군,팜카페,부산광역시 기장군 기장읍 석산1길 41,,129.2106079,35.20334533
해운대구,펠릭스바이STX,부산광역시 해운대구 해운대로 620 해운대 라뮤에뜨,,129.1584802,35.16300166
남구,평화공원,부산광역시 남구 신선로447번길 10,,129.099578,35.12532145
강서구,포레스트3002,부산광역시 강서구 낙동남로682번길 262 (녹산동),,128.8935323,35.1159576
기장군,포에버얌 부산기장점,부산광역시 기장군 일광읍 문오성길 43,,129.2583071,35.28278454
강서구,푸디1354,부산광역시 강서구 가락대로 1354 (봉림동),,128.9029435,35.18561108
금정구,풍년오리박사,부산광역시 금정구 청룡로 40 (청룡동),,129.0882165,35.27567106
기장군,풍원장시골밥상집,부산광역시 기장군 기장읍 기장해안로 250,,129.2232403,35.197449
해운대구,프루터리포레스트,부산광역시 해운대구 달맞이길 491,,129.1928601,35.17963654
영도구,플루니티,부산광역시 영도구 번영길 8,,129.0452947,35.09236858
기장군,피크스퀘어,부산광역시 기장군 기장해안로 864,,129.2439403,35.23255101
해운대구,하가원 해운대점,부산광역시 해운대구 좌동로91번길 28 (좌동),,129.174298,35.17343967
사하구,하기연진주냉면,부산광역시 사하구 괴정로 34 (하단동),,128.9678873,35.10279933
기장군,하녹,부산광역시 기장군 기장읍 내리길 146-5,,129.199689,35.21741855
