행정구명,사업장명,업태구분명,영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
해운대구,더엘시티월드레지던스,숙박업(생활),폐업,202405,202511,"부산광역시 해운대구 달맞이길 30, 랜드마크동 2301호 (중동, 엘시티)",부산광역시 해운대구 중동 1829 엘시티,129.1687865,35.16055677
수영구,알리스테이,숙박업(생활),영업,202405,,"부산광역시 수영구 민락수변로 127-7, 4,5층 (민락동)",부산광역시 수영구 민락동 110-83,129.1339803,35.15544184
수영구,더(THE)누리다,숙박업(생활),영업,202405,,"부산광역시 수영구 광안해변로 292, 마린랜드 10층 (민락동)",부산광역시 수영구 민락동 181-97 마린랜드,129.125615,35.15603961
동구,호스텔 부산역하우스,숙박업(생활),영업,202405,,"부산광역시 동구 중앙대로179번길 27-6, 1~4층 (초량동, 하나빌리지)",부산광역시 동구 초량동 597-27 하나빌리지,129.0369887,35.11371393
영도구,벨리타,숙박업(생활),폐업,202405,202602,부산광역시 영도구 와치로 54 (청학동),부산광역시 영도구 청학동 475-18,129.060584,35.08806195
부산진구,트래블라이트,숙박업(생활),영업,202405,,"부산광역시 부산진구 서면로68번길 52, 7층 (부전동)",부산광역시 부산진구 부전동 242-13,129.0582366,35.15469401
중구,샾 엘레펀트(#elephant),숙박업(생활),영업,202405,,"부산광역시 중구 남포길 31, 5층 (남포동2가)",부산광역시 중구 남포동2가 12-3,129.0321352,35.09859454
수영구,브리타니 광안,숙박업(생활),영업,202405,,"부산광역시 수영구 광안해변로344번길 17-5, 마린리치 5층 (민락동)",부산광역시 수영구 민락동 110-42 마린리치 5층,129.1310297,35.15518199
해운대구,스테이 SD,숙박업(생활),영업,202405,,"부산광역시 해운대구 송정중앙로6번길 126, 3~5층 (송정동)",부산광역시 해운대구 송정동 313-12,129.1981329,35.17872709
동구,마란트4호텔,숙박업(생활),영업,202405,,"부산광역시 동구 중앙대로180번길 16-8, 2~6층, 지하1층~1층 일부 (초량동)","부산광역시 동구 초량동 1213-5 2~6층, 지하1층~1층 일부",129.0402301,35.11239901
동구,마란트2호텔,숙박업(생활),영업,202405,,"부산광역시 동구 중앙대로180번길 16-8, 12~15층, 지하1층~1층 일부 (초량동)","부산광역시 동구 초량동 1213-5 12~15층, 지하1층~1층 일부",129.0402301,35.11239901
동구,마란트3호텔,숙박업(생활),영업,202405,,"부산광역시 동구 중앙대로180번길 16-8, 16~20층, 지하1층~1층 일부 (초량동)","부산광역시 동구 초량동 1213-5 16~20층, 지하1층~1층 일부",129.0402301,35.11239901
