영업상태,점포명,업종대분류,업종중분류,업종명,행정구,인허가일,폐업일,경도,위도
영업/정상,삼다진족 서면점,외식,분식전문점,기타 간이 음식점업,부산진구,202205,,129.0571995,35.15981304
영업/정상,개미집 서면센트럴스타점,외식,한식음식점,한식 일반 음식점업,부산진구,202205,,129.0611069,35.15145726
영업/정상,카페 리온,외식,분식전문점,기타 간이 음식점업,서구,202206,,129.0181928,35.10168993
영업/정상,마오사운드,외식,양식음식점,서양식 음식점업,중구,202206,,129.0267686,35.1005505
영업/정상,언양식당,외식,한식음식점,한식 일반 음식점업,부산진구,202205,,129.0581407,35.15562513
영업/정상,트와엣모아,외식,분식전문점,기타 간이 음식점업,부산진구,202205,,129.0678061,35.15215812
영업/정상,복고풍치킨,외식,한식음식점,한식 일반 음식점업,강서구,202205,,128.8699454,35.14589698
영업/정상,갓갈비 명지점,외식,한식음식점,한식 일반 음식점업,강서구,202205,,128.906048,35.09358412
영업/정상,연안13 카페,외식,분식전문점,기타 간이 음식점업,연제구,202206,,129.1028416,35.18879252
영업/정상,해녀이야기,외식,분식전문점,기타 간이 음식점업,연제구,202206,,129.0822742,35.19014885
영업/정상,꽁테무아(Quant a moi),외식,분식전문점,기타 간이 음식점업,부산진구,202205,,129.0670206,35.15283659
영업/정상,맛나는이야기미담,외식,분식전문점,기타 간이 음식점업,사하구,202205,,128.9725173,35.10354228
영업/정상,히스피(HISFFEE)커피 사상점,외식,분식전문점,기타 간이 음식점업,사상구,202205,,128.9871624,35.16074798
영업/정상,프레드피자 화명점,외식,양식음식점,서양식 음식점업,북구,202205,,129.0172354,35.23929091
영업/정상,달달한 밤,외식,한식음식점,한식 일반 음식점업,남구,202205,,129.0900924,35.12710027
영업/정상,고기극찬 남구점,외식,한식음식점,한식 일반 음식점업,남구,202205,,129.0880621,35.12359956
영업/정상,소영이네 반찬,외식,분식전문점,기타 간이 음식점업,사하구,202205,,128.9667057,35.08061389
영업/정상,이마이치킨,외식,호프·간이주점,기타 주점업,연제구,202206,,129.0861468,35.1851234
영업/정상,제이케이키친,외식,한식음식점,한식 일반 음식점업,연제구,202206,,129.0821243,35.18082223
영업/정상,샤샤,외식,분식전문점,기타 간이 음식점업,사상구,202206,,128.9811157,35.16873838
영업/정상,청년다방 정관신도시점,외식,분식전문점,기타 간이 음식점업,기장군,202206,,129.1762519,35.32171055
영업/정상,목이네 냉삼집,외식,한식음식점,한식 일반 음식점업,기장군,202206,,129.229336,35.2666755
영업/정상,밀회관,외식,분식전문점,기타 간이 음식점업,기장군,202206,,129.2297009,35.26757211
영업/정상,주위,외식,호프·간이주점,기타 주점업,중구,202106,,129.0331161,35.10315437
영업/정상,명가,외식,분식전문점,기타 간이 음식점업,사하구,202205,,128.9669023,35.11589435
영업/정상,금어가횟집(하단점),외식,일식음식점,일식 음식점업,사하구,202205,,128.9599747,35.11244811
영업/정상,소요리,외식,한식음식점,한식 일반 음식점업,사하구,202205,,128.9669479,35.04940619
영업/정상,국가대표 김치찜,외식,분식전문점,기타 간이 음식점업,사하구,202206,,128.9738228,35.09291295
영업/정상,카츠 김선도,외식,양식음식점,서양식 음식점업,부산진구,202205,,129.0634859,35.15407649
영업/정상,우시야,외식,분식전문점,기타 간이 음식점업,부산진구,202205,,129.0544047,35.15577416
영업/정상,연화림,외식,분식전문점,기타 간이 음식점업,부산진구,202205,,129.0642074,35.15839956
영업/정상,미네,외식,양식음식점,서양식 음식점업,부산진구,202205,,129.0681193,35.15605765
영업/정상,오로르,외식,한식음식점,한식 일반 음식점업,부산진구,202206,,129.0539477,35.1604014
영업/정상,W왕분식,외식,분식전문점,기타 간이 음식점업,기장군,202206,,129.1771865,35.32137097
영업/정상,티제이푸드 스시마이우 센텀점,외식,일식음식점,일식 음식점업,해운대구,202206,,129.1334272,35.16635738
영업/정상,보리소반,외식,한식음식점,한식 일반 음식점업,강서구,202206,,128.9093762,35.09865744
영업/정상,두건쓴형제더프리미엄,외식,한식음식점,한식 일반 음식점업,강서구,202206,,128.9249442,35.10297409
영업/정상,루나로사,외식,양식음식점,서양식 음식점업,동래구,202205,,129.0801797,35.20562363
영업/정상,사 시절,외식,양식음식점,서양식 음식점업,금정구,202206,,129.0880356,35.22888401
영업/정상,스페셜오더,외식,양식음식점,서양식 음식점업,금정구,202206,,129.0868917,35.2493522
영업/정상,콩마당,외식,한식음식점,한식 일반 음식점업,동구,202206,,129.0388693,35.11827917
영업/정상,루이 송,외식,중식음식점,중식 음식점업,동래구,202206,,129.0699031,35.2013247
영업/정상,초가네 장어구이(남포점),외식,한식음식점,한식 일반 음식점업,중구,202206,,129.025577,35.09996641
영업/정상,크리스탈제이드 부산피아크점,외식,중식음식점,중식 음식점업,영도구,202205,,129.0767647,35.08635241
영업/정상,복고다방 영도남항점,외식,분식전문점,기타 간이 음식점업,영도구,202205,,129.0382055,35.09097138
영업/정상,흰여울스시,외식,일식음식점,일식 음식점업,영도구,202206,,129.041274,35.08893177
영업/정상,buddy bar(버디 바),외식,양식음식점,서양식 음식점업,해운대구,202205,,129.1596085,35.16329745
영업/정상,수맥집,외식,호프·간이주점,기타 주점업,사상구,202205,,128.9709127,35.12558324
