기준연월,지역,외국인 방문자 수,구분
202412,부산진구,167936,외국인 방문자
202412,동래구,14666,외국인 방문자
202412,남구,111424,외국인 방문자
202412,북구,14731,외국인 방문자
202412,해운대구,228251,외국인 방문자
202412,사하구,99761,외국인 방문자
202412,금정구,23450,외국인 방문자
202412,강서구,337784,외국인 방문자
202412,연제구,23946,외국인 방문자
202412,수영구,78863,외국인 방문자
202412,사상구,33789,외국인 방문자
202412,기장군,99397,외국인 방문자
202411,중구,207089,외국인 방문자
202411,서구,132319,외국인 방문자
202411,동구,161824,외국인 방문자
202411,영도구,149842,외국인 방문자
202411,부산진구,201187,외국인 방문자
202411,동래구,17774,외국인 방문자
202411,남구,128803,외국인 방문자
202411,북구,15097,외국인 방문자
202411,해운대구,273051,외국인 방문자
202411,사하구,112257,외국인 방문자
202411,금정구,44886,외국인 방문자
202411,강서구,352111,외국인 방문자
202411,연제구,29055,외국인 방문자
202411,수영구,105061,외국인 방문자
202411,사상구,43482,외국인 방문자
202411,기장군,112902,외국인 방문자
202410,중구,260001,외국인 방문자
202410,서구,174706,외국인 방문자
202410,동구,218813,외국인 방문자
202410,영도구,182236,외국인 방문자
202410,부산진구,240902,외국인 방문자
202410,동래구,19601,외국인 방문자
202410,남구,158497,외국인 방문자
202410,북구,14691,외국인 방문자
202410,해운대구,372731,외국인 방문자
202410,사하구,141390,외국인 방문자
202410,금정구,51717,외국인 방문자
202410,강서구,404488,외국인 방문자
202410,연제구,33816,외국인 방문자
202410,수영구,136114,외국인 방문자
202410,사상구,56935,외국인 방문자
202410,기장군,138245,외국인 방문자
202409,중구,196219,외국인 방문자
202409,서구,135800,외국인 방문자
202409,동구,155890,외국인 방문자
202409,영도구,163730,외국인 방문자
202409,부산진구,197753,외국인 방문자
202409,동래구,15389,외국인 방문자
202409,남구,150683,외국인 방문자
202409,북구,14191,외국인 방문자
202409,해운대구,272576,외국인 방문자
202409,사하구,102928,외국인 방문자
202409,금정구,42534,외국인 방문자
202409,강서구,342623,외국인 방문자
202409,연제구,27880,외국인 방문자
202409,수영구,102487,외국인 방문자
202409,사상구,44960,외국인 방문자
202409,기장군,112738,외국인 방문자
