기준연월,기초지자체,방문자 수,구분
202309,서구,1824599,외지인 방문자
202309,수영구,3174888,외지인 방문자
202309,연제구,2752810,외지인 방문자
202309,영도구,1738328,외지인 방문자
202309,중구,3402172,외지인 방문자
202309,해운대구,5610644,외지인 방문자
202310,강서구,3380002,외지인 방문자
202310,금정구,2529418,외지인 방문자
202310,기장군,3580612,외지인 방문자
202310,남구,2546960,외지인 방문자
202310,동구,2954466,외지인 방문자
202310,동래구,3148271,외지인 방문자
202310,부산진구,6016882,외지인 방문자
202310,북구,2003484,외지인 방문자
202310,사상구,2331704,외지인 방문자
202310,사하구,2011716,외지인 방문자
202310,서구,1774986,외지인 방문자
202310,수영구,3154774,외지인 방문자
202310,연제구,2633785,외지인 방문자
202310,영도구,1651209,외지인 방문자
202310,중구,3549234,외지인 방문자
202310,해운대구,5709165,외지인 방문자
202311,강서구,3048248,외지인 방문자
202311,금정구,2347972,외지인 방문자
202311,기장군,2953111,외지인 방문자
202311,남구,2439188,외지인 방문자
202311,동구,2733493,외지인 방문자
202311,동래구,2921628,외지인 방문자
202311,부산진구,5701028,외지인 방문자
202311,북구,1845750,외지인 방문자
202311,사상구,2214398,외지인 방문자
202311,사하구,1824182,외지인 방문자
202311,서구,1596794,외지인 방문자
202311,수영구,2876500,외지인 방문자
202311,연제구,2480006,외지인 방문자
202311,영도구,1413062,외지인 방문자
202311,중구,3227424,외지인 방문자
202311,해운대구,5269306,외지인 방문자
202312,강서구,3070032,외지인 방문자
202312,금정구,2334283,외지인 방문자
202312,기장군,3245305,외지인 방문자
202312,남구,2452314,외지인 방문자
202312,동구,2792982,외지인 방문자
202312,동래구,3117726,외지인 방문자
202312,부산진구,6037899,외지인 방문자
202312,북구,1964680,외지인 방문자
202312,사상구,2255270,외지인 방문자
202312,사하구,1881530,외지인 방문자
202312,서구,1617763,외지인 방문자
202312,수영구,3092446,외지인 방문자
202312,연제구,2697128,외지인 방문자
202312,영도구,1582710,외지인 방문자
202312,중구,3696038,외지인 방문자
202312,해운대구,5871428,외지인 방문자
202401,강서구,3231204,외지인 방문자
202401,금정구,2248830,외지인 방문자
202401,기장군,3123456,외지인 방문자
202401,남구,2385982,외지인 방문자
202401,동구,2820692,외지인 방문자
202401,동래구,3027154,외지인 방문자
202401,부산진구,6021694,외지인 방문자
202401,북구,1898540,외지인 방문자
202401,사상구,2212220,외지인 방문자
202401,사하구,1875650,외지인 방문자
202401,서구,1638749,외지인 방문자
202401,수영구,3046344,외지인 방문자
202401,연제구,2660452,외지인 방문자
202401,영도구,1508941,외지인 방문자
202401,중구,3293752,외지인 방문자
202401,해운대구,5493033,외지인 방문자
202402,강서구,3181034,외지인 방문자
202402,금정구,2456643,외지인 방문자
202402,기장군,3259389,외지인 방문자
202402,남구,2457150,외지인 방문자
202402,동구,2888137,외지인 방문자
202402,동래구,3072500,외지인 방문자
202402,부산진구,5859500,외지인 방문자
202402,북구,2029150,외지인 방문자
202402,사상구,2270170,외지인 방문자
202402,사하구,1998276,외지인 방문자
202402,서구,1647926,외지인 방문자
202402,수영구,3004194,외지인 방문자
202402,연제구,2580168,외지인 방문자
202402,영도구,1486600,외지인 방문자
202402,중구,3161788,외지인 방문자
202402,해운대구,5430932,외지인 방문자
202403,강서구,3596607,외지인 방문자
202403,금정구,2959302,외지인 방문자
202403,기장군,3401419,외지인 방문자
202403,남구,3043884,외지인 방문자
202403,동구,2990544,외지인 방문자
202403,동래구,3406186,외지인 방문자
202403,부산진구,6336004,외지인 방문자
202403,북구,2091614,외지인 방문자
202403,사상구,2679768,외지인 방문자
202403,사하구,2191945,외지인 방문자
202403,서구,1794303,외지인 방문자
202403,수영구,3107489,외지인 방문자
