기준연월,기초지자체,방문자 수,구분
202310,동래구,4303260,현지인 방문자
202311,동래구,4140322,현지인 방문자
202312,동래구,4004840,현지인 방문자
202401,동래구,4034961,현지인 방문자
202402,동래구,3679498,현지인 방문자
202403,동래구,4015718,현지인 방문자
202404,동래구,3906861,현지인 방문자
202405,동래구,4062348,현지인 방문자
202406,동래구,3940422,현지인 방문자
202407,동래구,4141154,현지인 방문자
202408,동래구,4049644,현지인 방문자
202409,동래구,3933657,현지인 방문자
202410,동래구,4105661,현지인 방문자
202411,동래구,4017755,현지인 방문자
202412,동래구,4296652,현지인 방문자
202501,동래구,4172966,현지인 방문자
202502,동래구,3888164,현지인 방문자
202503,동래구,4254660,현지인 방문자
202504,동래구,4186203,현지인 방문자
202505,동래구,4466934,현지인 방문자
202506,동래구,4386144,현지인 방문자
202507,동래구,4577464,현지인 방문자
202508,동래구,4529556,현지인 방문자
202509,동래구,4529620,현지인 방문자
202510,동래구,4565624,현지인 방문자
202511,부산진구,6776368,현지인 방문자
202512,부산진구,6837138,현지인 방문자
202601,부산진구,6674686,현지인 방문자
202602,부산진구,5958477,현지인 방문자
202603,부산진구,6696732,현지인 방문자
202604,부산진구,6321578,현지인 방문자
202605,부산진구,6786930,현지인 방문자
202606,부산진구,6676180,현지인 방문자
202607,부산진구,6650056,현지인 방문자
202302,부산진구,5950742,현지인 방문자
202301,부산진구,6440102,현지인 방문자
202303,부산진구,6666142,현지인 방문자
202304,부산진구,6289108,현지인 방문자
202305,부산진구,6827163,현지인 방문자
202306,부산진구,6374302,현지인 방문자
202307,부산진구,6431344,현지인 방문자
202308,부산진구,6404440,현지인 방문자
202309,부산진구,6241364,현지인 방문자
202310,부산진구,6546897,현지인 방문자
202311,부산진구,6484639,현지인 방문자
202312,부산진구,6314588,현지인 방문자
202401,부산진구,6333792,현지인 방문자
202402,부산진구,5757983,현지인 방문자
202403,부산진구,6295800,현지인 방문자
202404,부산진구,6055844,현지인 방문자
202405,부산진구,6417859,현지인 방문자
202406,부산진구,6164410,현지인 방문자
202407,부산진구,6294544,현지인 방문자
202408,부산진구,6080666,현지인 방문자
202409,부산진구,5957063,현지인 방문자
202410,부산진구,6337492,현지인 방문자
202411,부산진구,6216738,현지인 방문자
202412,부산진구,6583448,현지인 방문자
202501,부산진구,6136599,현지인 방문자
202502,부산진구,5681662,현지인 방문자
202503,부산진구,6194888,현지인 방문자
202504,부산진구,6128602,현지인 방문자
202505,부산진구,6586811,현지인 방문자
202506,부산진구,6467223,현지인 방문자
202507,부산진구,6748770,현지인 방문자
202508,부산진구,6612893,현지인 방문자
202509,부산진구,6693442,현지인 방문자
202510,부산진구,6701922,현지인 방문자
202511,북구,4698435,현지인 방문자
202512,북구,4800596,현지인 방문자
202601,북구,4623874,현지인 방문자
202602,북구,4199944,현지인 방문자
202603,북구,4744019,현지인 방문자
202604,북구,4560563,현지인 방문자
202605,북구,4837574,현지인 방문자
202606,북구,4738444,현지인 방문자
202607,북구,4808240,현지인 방문자
202302,북구,4177590,현지인 방문자
202301,북구,4574059,현지인 방문자
202303,북구,4693073,현지인 방문자
202304,북구,4450012,현지인 방문자
202305,북구,4727751,현지인 방문자
202306,북구,4481050,현지인 방문자
202307,북구,4622415,현지인 방문자
202308,북구,4537544,현지인 방문자
202309,북구,4584094,현지인 방문자
202310,북구,4902132,현지인 방문자
202311,북구,4786271,현지인 방문자
202312,북구,4686339,현지인 방문자
202401,북구,4715428,현지인 방문자
202402,북구,4379193,현지인 방문자
202403,북구,4793156,현지인 방문자
202404,북구,4683102,현지인 방문자
202405,북구,4806896,현지인 방문자
202406,북구,4650796,현지인 방문자
202407,북구,4737999,현지인 방문자
202408,북구,4591083,현지인 방문자
202409,북구,4515900,현지인 방문자
202410,북구,4725746,현지인 방문자
202411,북구,4580390,현지인 방문자
202412,북구,4782645,현지인 방문자
202501,북구,4571644,현지인 방문자
202502,북구,4206206,현지인 방문자
202503,북구,4632618,현지인 방문자
202504,북구,4511710,현지인 방문자
202505,북구,4766062,현지인 방문자
202506,북구,4607330,현지인 방문자
202507,북구,4761855,현지인 방문자
202508,북구,4705757,현지인 방문자
202509,북구,4703548,현지인 방문자
202510,북구,4836825,현지인 방문자
202511,사상구,2908766,현지인 방문자
202512,사상구,2856623,현지인 방문자
202601,사상구,2732499,현지인 방문자
202602,사상구,2418010,현지인 방문자
202603,사상구,2867980,현지인 방문자
202604,사상구,2711530,현지인 방문자
202605,사상구,2908000,현지인 방문자
202606,사상구,2919850,현지인 방문자
202607,사상구,2812397,현지인 방문자
202302,사상구,2693064,현지인 방문자
202301,사상구,2919472,현지인 방문자
202303,사상구,3010270,현지인 방문자
202304,사상구,2844572,현지인 방문자
202305,사상구,3131037,현지인 방문자
202306,사상구,2510932,현지인 방문자
202307,사상구,2525362,현지인 방문자
202308,사상구,2556648,현지인 방문자
202309,사상구,2537374,현지인 방문자
202310,사상구,2992378,현지인 방문자
202311,사상구,2946146,현지인 방문자
202312,사상구,2803367,현지인 방문자
202401,사상구,2803416,현지인 방문자
202402,사상구,2532474,현지인 방문자
202403,사상구,2845941,현지인 방문자
202404,사상구,2811396,현지인 방문자
202405,사상구,2991065,현지인 방문자
202406,사상구,2848300,현지인 방문자
202407,사상구,2865950,현지인 방문자
202408,사상구,2732212,현지인 방문자
202409,사상구,2708240,현지인 방문자
202410,사상구,2828102,현지인 방문자
202411,사상구,2750248,현지인 방문자
202412,사상구,2891245,현지인 방문자
202501,사상구,2640442,현지인 방문자
202502,사상구,2460969,현지인 방문자
202503,사상구,2627258,현지인 방문자
202504,사상구,2735680,현지인 방문자
202505,사상구,2843936,현지인 방문자
202506,사상구,2795950,현지인 방문자
202507,사상구,2875274,현지인 방문자
202508,사상구,2809947,현지인 방문자
202509,사상구,2877476,현지인 방문자
202510,사상구,2859434,현지인 방문자
202511,사하구,4777017,현지인 방문자
202512,사하구,4773598,현지인 방문자
202601,사하구,4583453,현지인 방문자
202602,사하구,4072512,현지인 방문자
202603,사하구,4641595,현지인 방문자
202604,사하구,4442935,현지인 방문자
202605,사하구,4720446,현지인 방문자
202606,사하구,4715837,현지인 방문자
202607,사하구,4651342,현지인 방문자
202302,사하구,4084244,현지인 방문자
202301,사하구,4400998,현지인 방문자
202303,사하구,4705348,현지인 방문자
202304,사하구,4335188,현지인 방문자
202305,사하구,4578318,현지인 방문자
202306,사하구,4084322,현지인 방문자
202307,사하구,4140294,현지인 방문자
202308,사하구,4127232,현지인 방문자
202309,사하구,4109287,현지인 방문자
202310,사하구,4517268,현지인 방문자
202311,사하구,4495974,현지인 방문자
202312,사하구,4204137,현지인 방문자
202401,사하구,4113862,현지인 방문자
202402,사하구,3813257,현지인 방문자
202403,사하구,4171153,현지인 방문자
202404,사하구,4065142,현지인 방문자
202405,사하구,4302634,현지인 방문자
202406,사하구,4075218,현지인 방문자
202407,사하구,4139863,현지인 방문자
202408,사하구,4022487,현지인 방문자
202409,사하구,3877734,현지인 방문자
202410,사하구,4228620,현지인 방문자
202411,사하구,4407246,현지인 방문자
202412,사하구,4559642,현지인 방문자
202501,사하구,4266171,현지인 방문자
202502,사하구,3973886,현지인 방문자
202503,사하구,4337025,현지인 방문자
202504,사하구,4361976,현지인 방문자
202505,사하구,4640048,현지인 방문자
202506,사하구,4602388,현지인 방문자
202507,사하구,4744806,현지인 방문자
202508,사하구,4633342,현지인 방문자
202509,사하구,4715949,현지인 방문자
202510,사하구,4744047,현지인 방문자
202511,서구,1714937,현지인 방문자
202512,서구,1723354,현지인 방문자
202601,서구,1656550,현지인 방문자
202602,서구,1517730,현지인 방문자
202603,서구,1712574,현지인 방문자
202604,서구,1622058,현지인 방문자
202605,서구,1754700,현지인 방문자
202606,서구,1754736,현지인 방문자
202607,서구,1723400,현지인 방문자
202302,서구,1495246,현지인 방문자
202301,서구,1630086,현지인 방문자
202303,서구,1721738,현지인 방문자
202304,서구,1591300,현지인 방문자
202305,서구,1749030,현지인 방문자
202306,서구,1587509,현지인 방문자
202307,서구,1569197,현지인 방문자
202308,서구,1560370,현지인 방문자
202309,서구,1525380,현지인 방문자
202310,서구,1645322,현지인 방문자
202311,서구,1640230,현지인 방문자
202312,서구,1576180,현지인 방문자
202401,서구,1605348,현지인 방문자
202402,서구,1465128,현지인 방문자
202403,서구,1593630,현지인 방문자
202404,서구,1588258,현지인 방문자
202405,서구,1667890,현지인 방문자
202406,서구,1577583,현지인 방문자
202407,서구,1620101,현지인 방문자
202408,서구,1558694,현지인 방문자
202409,서구,1537004,현지인 방문자
202410,서구,1596522,현지인 방문자
202411,서구,1573194,현지인 방문자
202412,서구,1646484,현지인 방문자
202501,서구,1531736,현지인 방문자
202502,서구,1444142,현지인 방문자
202503,서구,1576729,현지인 방문자
202504,서구,1558571,현지인 방문자
202505,서구,1645886,현지인 방문자
202506,서구,1639424,현지인 방문자
202507,서구,1684970,현지인 방문자
202508,서구,1634108,현지인 방문자
202509,서구,1681782,현지인 방문자
202510,서구,1689216,현지인 방문자
202511,수영구,3084238,현지인 방문자
202512,수영구,3143672,현지인 방문자
202601,수영구,3018575,현지인 방문자
202602,수영구,2685868,현지인 방문자
202603,수영구,3126249,현지인 방문자
202604,수영구,2989186,현지인 방문자
202605,수영구,3223678,현지인 방문자
202606,수영구,3182098,현지인 방문자
202607,수영구,3235498,현지인 방문자
202302,수영구,2700131,현지인 방문자
202301,수영구,2965823,현지인 방문자
202303,수영구,3043369,현지인 방문자
202304,수영구,2873552,현지인 방문자
202305,수영구,3058450,현지인 방문자
202306,수영구,2778699,현지인 방문자
202307,수영구,2841258,현지인 방문자
202308,수영구,2825025,현지인 방문자
202309,수영구,2757184,현지인 방문자
202310,수영구,2958112,현지인 방문자
202311,수영구,2842438,현지인 방문자
202312,수영구,2680478,현지인 방문자
202401,수영구,2607850,현지인 방문자
202402,수영구,2436903,현지인 방문자
202403,수영구,2661617,현지인 방문자
202404,수영구,2597878,현지인 방문자
202405,수영구,2729615,현지인 방문자
202406,수영구,2629809,현지인 방문자
202407,수영구,2690894,현지인 방문자
202408,수영구,2629900,현지인 방문자
202409,수영구,2573844,현지인 방문자
202410,수영구,2886387,현지인 방문자
202411,수영구,2830908,현지인 방문자
202412,수영구,3009206,현지인 방문자
202501,수영구,2848506,현지인 방문자
202502,수영구,2659825,현지인 방문자
202503,수영구,2847974,현지인 방문자
202504,수영구,2795240,현지인 방문자
202505,수영구,2934470,현지인 방문자
202506,수영구,2900499,현지인 방문자
202507,수영구,3055300,현지인 방문자
202508,수영구,3041682,현지인 방문자
202509,수영구,3118328,현지인 방문자
202510,수영구,3133196,현지인 방문자
202511,연제구,2350604,현지인 방문자
202512,연제구,2364772,현지인 방문자
202601,연제구,2305292,현지인 방문자
202602,연제구,2006347,현지인 방문자
202603,연제구,2256216,현지인 방문자
202604,연제구,2223050,현지인 방문자
202605,연제구,2354572,현지인 방문자
202606,연제구,2354390,현지인 방문자
202607,연제구,2344181,현지인 방문자
202302,연제구,2602733,현지인 방문자
202301,연제구,2852098,현지인 방문자
202303,연제구,2939948,현지인 방문자
202304,연제구,2766722,현지인 방문자
202305,연제구,2947766,현지인 방문자
202306,연제구,1475736,현지인 방문자
202307,연제구,1486020,현지인 방문자
202308,연제구,1658664,현지인 방문자
202309,연제구,1814312,현지인 방문자
202310,연제구,2236381,현지인 방문자
202311,연제구,2165292,현지인 방문자
202312,연제구,2080796,현지인 방문자
202401,연제구,1605110,현지인 방문자
202402,연제구,1489992,현지인 방문자
202403,연제구,1698823,현지인 방문자
202404,연제구,1728310,현지인 방문자
202405,연제구,1834952,현지인 방문자
202406,연제구,1743094,현지인 방문자
202407,연제구,1739626,현지인 방문자
202408,연제구,1679363,현지인 방문자
202409,연제구,1644209,현지인 방문자
202410,연제구,1927258,현지인 방문자
202411,연제구,2112652,현지인 방문자
202412,연제구,2324654,현지인 방문자
202501,연제구,2166308,현지인 방문자
202502,연제구,1970322,현지인 방문자
202503,연제구,2130919,현지인 방문자
202504,연제구,2176888,현지인 방문자
202505,연제구,2320241,현지인 방문자
202506,연제구,2262264,현지인 방문자
202507,연제구,2310119,현지인 방문자
202508,연제구,2294212,현지인 방문자
202509,연제구,2349694,현지인 방문자
202510,연제구,2321256,현지인 방문자
202511,영도구,1955838,현지인 방문자
202512,영도구,1945622,현지인 방문자
202601,영도구,1828144,현지인 방문자
202602,영도구,1654324,현지인 방문자
202603,영도구,1910146,현지인 방문자
202604,영도구,1810060,현지인 방문자
202605,영도구,2019720,현지인 방문자
202606,영도구,2009266,현지인 방문자
202607,영도구,1933267,현지인 방문자
202302,영도구,1705872,현지인 방문자
202301,영도구,1859932,현지인 방문자
202303,영도구,1925651,현지인 방문자
202304,영도구,1810361,현지인 방문자
202305,영도구,2017004,현지인 방문자
202306,영도구,1909618,현지인 방문자
202307,영도구,1887074,현지인 방문자
202308,영도구,1880172,현지인 방문자
202309,영도구,1848780,현지인 방문자
202310,영도구,1936557,현지인 방문자
202311,영도구,1970787,현지인 방문자
202312,영도구,1902425,현지인 방문자
202401,영도구,1888628,현지인 방문자
202402,영도구,1728430,현지인 방문자
202403,영도구,1899468,현지인 방문자
202404,영도구,1861576,현지인 방문자
202405,영도구,2006648,현지인 방문자
202406,영도구,1894914,현지인 방문자
202407,영도구,1904158,현지인 방문자
202408,영도구,1843359,현지인 방문자
202409,영도구,1825198,현지인 방문자
202410,영도구,1903436,현지인 방문자
202411,영도구,1896573,현지인 방문자
202412,영도구,1945968,현지인 방문자
202501,영도구,1813203,현지인 방문자
202502,영도구,1700608,현지인 방문자
202503,영도구,1831193,현지인 방문자
202504,영도구,1805237,현지인 방문자
