연월,분석차원,분류,신설법인수,부산전체신설법인수,비중_pct,전월대비증감률_pct,전년동월대비증감률_pct,3개월이동평균,데이터상태,출처파일,검증_주의
202401,업종,정보통신업,24,453,5.3,33.33,20.0,21.33,원문확인,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,업종,부동산 및 장비임대업,57,453,12.58,62.86,29.55,48.67,원문확인,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,업종,서비스업,131,453,28.92,37.89,31.0,108.33,원문확인,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,업종,기타,5,453,1.1,-28.57,-28.57,5.67,원문확인,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202402,업종,제조업,45,327,13.76,-41.56,-10.0,64.33,원문확인,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202402,업종,건설업,36,327,11.01,2.86,9.09,32.0,원문확인,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202402,업종,유통업,65,327,19.88,-39.25,-39.81,84.0,원문확인,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202402,업종,운수업,7,327,2.14,-58.82,-63.16,12.67,원문확인,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202402,업종,정보통신업,23,327,7.03,-4.17,-4.17,21.67,원문확인,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202402,업종,부동산 및 장비임대업,49,327,14.98,-14.04,-28.99,47.0,원문확인,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202402,업종,서비스업,96,327,29.36,-26.72,2.13,107.33,원문확인,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202402,업종,기타,6,327,1.83,20.0,200.0,6.0,원문확인,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,업종,제조업,39,366,10.66,-13.33,-9.3,53.67,원문확인,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,업종,건설업,25,366,6.83,-30.56,-44.44,32.0,원문확인,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,업종,유통업,98,366,26.78,50.77,-5.77,90.0,원문확인,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,업종,운수업,13,366,3.55,85.71,-35.0,12.33,원문확인,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,업종,정보통신업,23,366,6.28,0.0,-11.54,23.33,원문확인,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,업종,부동산 및 장비임대업,49,366,13.39,0.0,-14.04,51.67,원문확인,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
