연월,행정구,신설법인수,부산전체신설법인수,부산전체대비비중_pct,원문비중_pct,월내순위,전월대비증감수,전월대비증감률_pct,전년동월대비증감수,전년동월대비증감률_pct,3개월이동평균,6개월이동평균,데이터상태,수치생성방식,출처파일,검증_주의
202403,남구,24,366,6.56,6.6,5,3,14.29,,,24.33,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,동래구,26,366,7.1,7.1,4,8,44.44,,,24.0,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,수영구,14,366,3.83,3.8,11,-1,-6.67,,,19.0,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,연제구,19,366,5.19,5.2,7,-6,-24.0,,,22.67,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,사상구,16,366,4.37,4.4,8,2,14.29,,,17.67,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,금정구,14,366,3.83,3.8,11,-4,-22.22,,,18.0,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,동구,16,366,4.37,4.4,8,-1,-5.88,,,18.33,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,사하구,23,366,6.28,6.3,6,6,35.29,,,20.0,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,북구,14,366,3.83,3.8,11,3,27.27,,,13.33,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,중구,10,366,2.73,2.7,15,2,25.0,,,11.0,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,서구,13,366,3.55,3.6,14,9,225.0,,,9.0,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,영도구,9,366,2.46,2.5,16,2,28.57,,,7.33,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202404,강서구,46,372,12.37,12.4,3,7,17.95,,,43.33,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,해운대구,49,372,13.17,13.2,2,-26,-34.67,,,60.33,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,부산진구,54,372,14.52,14.5,1,15,38.46,,,40.67,,비중역산_합계검증,원문 직접 기재 개체수,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,기장군,19,372,5.11,5.1,8,4,26.67,,,18.33,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,남구,25,372,6.72,6.7,5,1,4.17,,,23.33,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,동래구,9,372,2.42,2.4,14,-17,-65.38,,,17.67,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,수영구,23,372,6.18,6.2,7,9,64.29,,,17.33,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,연제구,19,372,5.11,5.1,8,0,0.0,,,21.0,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,사상구,19,372,5.11,5.1,8,3,18.75,,,16.33,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,금정구,25,372,6.72,6.7,5,11,78.57,,,19.0,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,동구,26,372,6.99,7.0,4,10,62.5,,,19.67,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,사하구,17,372,4.57,4.6,11,-6,-26.09,,,19.0,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,북구,14,372,3.76,3.8,13,0,0.0,,,13.0,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
