연월,행정구,신설법인수
202408,사하구,19
202408,서구,6
202408,수영구,14
202408,연제구,16
202408,영도구,7
202408,중구,13
202408,해운대구,58
202409,강서구,32
202409,금정구,8
202409,기장군,17
202409,남구,30
202409,동구,7
202409,동래구,23
202409,부산진구,16
202409,북구,11
202409,사상구,21
202409,사하구,23
202409,서구,5
202409,수영구,17
202409,연제구,16
202409,영도구,11
202409,중구,5
202409,해운대구,51
202410,강서구,40
202410,금정구,14
202410,기장군,33
202410,남구,32
202410,동구,16
202410,동래구,27
202410,부산진구,34
202410,북구,11
202410,사상구,18
202410,사하구,17
202410,서구,11
202410,수영구,25
202410,연제구,26
202410,영도구,7
202410,중구,11
202410,해운대구,53
202411,강서구,40
202411,금정구,14
202411,기장군,18
202411,남구,26
202411,동구,30
202411,동래구,21
202411,부산진구,39
202411,북구,8
202411,사상구,30
202411,사하구,32
202411,서구,3
202411,수영구,16
202411,연제구,26
202411,영도구,9
202411,중구,17
202411,해운대구,57
202412,강서구,57
202412,금정구,20
202412,기장군,22
202412,남구,31
202412,동구,9
202412,동래구,26
202412,부산진구,35
202412,북구,11
202412,사상구,27
202412,사하구,25
202412,서구,8
202412,수영구,13
202412,연제구,14
202412,영도구,8
202412,중구,14
202412,해운대구,52
202501,강서구,51
202501,금정구,15
202501,기장군,30
202501,남구,25
202501,동구,16
202501,동래구,21
202501,부산진구,30
202501,북구,14
202501,사상구,20
202501,사하구,11
202501,서구,4
202501,수영구,55
202501,연제구,12
202501,영도구,7
202501,중구,11
202501,해운대구,50
202502,강서구,48
202502,금정구,21
202502,기장군,27
202502,남구,20
202502,동구,16
202502,동래구,21
202502,부산진구,30
202502,북구,19
202502,사상구,19
202502,사하구,23
202502,서구,9
202502,수영구,39
202502,연제구,17
202502,영도구,3
202502,중구,11
202502,해운대구,59
202503,강서구,37
202503,금정구,19
202503,기장군,17
202503,남구,27
202503,동구,16
202503,동래구,18
202503,부산진구,34
202503,북구,13
202503,사상구,23
202503,사하구,19
202503,서구,6
202503,수영구,74
202503,연제구,17
202503,영도구,6
202503,중구,9
202503,해운대구,47
202504,강서구,37
202504,금정구,21
202504,기장군,15
202504,남구,26
202504,동구,19
202504,동래구,27
202504,부산진구,30
202504,북구,7
202504,사상구,16
202504,사하구,24
202504,서구,10
202504,수영구,18
202504,연제구,17
202504,영도구,6
202504,중구,16
202504,해운대구,63
202505,강서구,48
202505,금정구,22
202505,기장군,15
202505,남구,40
202505,동구,12
202505,동래구,31
202505,부산진구,45
202505,북구,7
202505,사상구,19
202505,사하구,17
202505,서구,6
202505,수영구,28
202505,연제구,20
202505,영도구,5
202505,중구,11
202505,해운대구,47
202506,강서구,45
202506,금정구,16
202506,기장군,19
202506,남구,23
202506,동구,19
202506,동래구,23
202506,부산진구,29
202506,북구,20
202506,사상구,16
202506,사하구,8
202506,서구,10
202506,수영구,47
202506,연제구,34
202506,영도구,5
202506,중구,18
202506,해운대구,48
202507,강서구,47
202507,금정구,32
202507,기장군,23
202507,남구,22
202507,동구,15
202507,동래구,21
202507,부산진구,36
202507,북구,53
202507,사상구,24
202507,사하구,23
202507,서구,9
202507,수영구,33
202507,연제구,23
202507,영도구,8
202507,중구,15
202507,해운대구,73
202508,강서구,44
202508,금정구,17
202508,기장군,21
202508,남구,19
202508,동구,9
202508,동래구,31
202508,부산진구,26
202508,북구,37
202508,사상구,21
202508,사하구,17
202508,서구,8
202508,수영구,28
202508,연제구,23
202508,영도구,6
202508,중구,15
202508,해운대구,50
202509,강서구,64
202509,금정구,22
202509,기장군,13
202509,남구,23
202509,동구,18
202509,동래구,23
202509,부산진구,40
202509,북구,19
202509,사상구,22
202509,사하구,25
202509,서구,3
202509,수영구,28
202509,연제구,19
202509,영도구,8
202509,중구,16
202509,해운대구,59
202510,강서구,62
202510,금정구,13
202510,기장군,17
202510,남구,22
202510,동구,13
202510,동래구,12
202510,부산진구,35
202510,북구,16
202510,사상구,20
202510,사하구,19
202510,서구,8
202510,수영구,16
202510,연제구,17
202510,영도구,6
202510,중구,11
202510,해운대구,35
202511,강서구,35
202511,금정구,22
202511,기장군,27
202511,남구,21
202511,동구,14
202511,동래구,20
202511,부산진구,32
202511,북구,20
202511,사상구,19
202511,사하구,26
202511,서구,3
202511,수영구,29
202511,연제구,21
202511,영도구,4
202511,중구,12
202511,해운대구,46
202512,강서구,51
202512,금정구,13
202512,기장군,26
202512,남구,19
202512,동구,17
202512,동래구,18
202512,부산진구,50
202512,북구,11
202512,사상구,28
202512,사하구,22
202512,서구,5
202512,수영구,36
202512,연제구,11
202512,영도구,8
202512,중구,13
202512,해운대구,74
202601,강서구,52
202601,금정구,21
202601,기장군,20
202601,남구,26
202601,동구,16
202601,동래구,18
202601,부산진구,76
202601,북구,16
202601,사상구,23
202601,사하구,27
202601,서구,6
202601,수영구,35
202601,연제구,21
202601,영도구,11
202601,중구,26
202601,해운대구,65
202602,강서구,26
202602,금정구,20
202602,기장군,16
202602,남구,18
202602,동구,12
202602,동래구,18
202602,부산진구,67
202602,북구,13
202602,사상구,13
202602,사하구,21
202602,서구,2
202602,수영구,22
202602,연제구,11
202602,영도구,7
202602,중구,14
202602,해운대구,44
202603,강서구,52
202603,금정구,17
202603,기장군,21
202603,남구,23
202603,동구,17
202603,동래구,24
202603,부산진구,83
202603,북구,25
202603,사상구,26
202603,사하구,27
202603,서구,5
202603,수영구,22
202603,연제구,20
202603,영도구,7
202603,중구,18
202603,해운대구,69
202604,강서구,41
202604,금정구,11
202604,기장군,17
202604,남구,24
202604,동구,30
202604,동래구,23
202604,부산진구,91
202604,북구,17
202604,사상구,15
202604,사하구,15
202604,서구,6
202604,수영구,9
202604,연제구,19
202604,영도구,6
202604,중구,28
202604,해운대구,77
202605,강서구,41
202605,금정구,18
202605,기장군,24
202605,남구,19
