구군,연월,주요유료관광지입장객수,집계관광지수
영도구,202304,46212.0,1.0
영도구,202305,39528.0,1.0
영도구,202306,62194.0,1.0
영도구,202307,41810.0,1.0
영도구,202308,51256.0,1.0
영도구,202309,36908.0,1.0
영도구,202310,69500.0,1.0
영도구,202311,49463.0,1.0
영도구,202312,43359.0,1.0
영도구,202401,34530.0,1.0
영도구,202402,35524.0,1.0
영도구,202403,48312.0,1.0
영도구,202404,48496.0,1.0
영도구,202405,61376.0,1.0
영도구,202406,60343.0,1.0
영도구,202407,40510.0,1.0
영도구,202408,44894.0,1.0
영도구,202409,42203.0,1.0
영도구,202410,60707.0,1.0
영도구,202411,43855.0,1.0
영도구,202412,35540.0,1.0
영도구,202501,41998.0,1.0
영도구,202502,31577.0,1.0
영도구,202503,35947.0,1.0
영도구,202504,44964.0,1.0
영도구,202505,50151.0,1.0
영도구,202506,66478.0,1.0
영도구,202507,53768.0,1.0
영도구,202508,39886.0,1.0
영도구,202509,34293.0,1.0
영도구,202510,64334.0,1.0
영도구,202511,47484.0,1.0
영도구,202512,33025.0,1.0
영도구,202601,0.0,1.0
영도구,202602,0.0,1.0
영도구,202603,0.0,1.0
영도구,202604,0.0,1.0
영도구,202605,0.0,1.0
영도구,202606,0.0,1.0
부산진구,202301,,
부산진구,202302,,
부산진구,202303,,
부산진구,202304,,
부산진구,202305,,
부산진구,202306,,
부산진구,202307,,
부산진구,202308,,
부산진구,202309,,
부산진구,202310,,
부산진구,202311,,
부산진구,202312,,
부산진구,202401,,
부산진구,202402,,
부산진구,202403,,
부산진구,202404,,
부산진구,202405,,
부산진구,202406,,
부산진구,202407,,
부산진구,202408,,
부산진구,202409,,
부산진구,202410,,
부산진구,202411,,
부산진구,202412,,
부산진구,202501,,
부산진구,202502,,
부산진구,202503,,
부산진구,202504,,
부산진구,202505,,
부산진구,202506,,
부산진구,202507,,
부산진구,202508,,
부산진구,202509,,
부산진구,202510,,
부산진구,202511,,
부산진구,202512,,
부산진구,202601,,
부산진구,202602,,
부산진구,202603,,
부산진구,202604,,
부산진구,202605,,
부산진구,202606,,
동래구,202301,,
동래구,202302,,
동래구,202303,,
동래구,202304,,
동래구,202305,,
동래구,202306,,
동래구,202307,,
동래구,202308,,
동래구,202309,,
동래구,202310,,
동래구,202311,,
동래구,202312,,
동래구,202401,,
동래구,202402,,
동래구,202403,,
동래구,202404,,
동래구,202405,,
동래구,202406,,
동래구,202407,,
동래구,202408,,
동래구,202409,,
동래구,202410,,
동래구,202411,,
동래구,202412,,
동래구,202501,,
동래구,202502,,
동래구,202503,,
동래구,202504,,
동래구,202505,,
동래구,202506,,
동래구,202507,,
동래구,202508,,
동래구,202509,,
동래구,202510,,
동래구,202511,,
동래구,202512,,
동래구,202601,,
동래구,202602,,
동래구,202603,,
동래구,202604,,
동래구,202605,,
동래구,202606,,
남구,202301,,
남구,202302,,
남구,202303,,
남구,202304,,
남구,202305,,
남구,202306,,
